character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Deepwind Gorge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Korrak's Revenge played,Rated Eye of the Storm won,Korrak's Revenge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
112282407,Serupiya,silvermoon,55.0,17143.0,80.0,65.0,77.0,93.0,11.0,100.0,40.0,25.0,20.0,43.0,15.0,9.0,1.0,5.0,20.0,13.0,33.0,14.0,1.0,1.0,2.0,82.0,66.0,77.0,71.0,65.0,70.0,70.0,69.0,0.0,50.0,78.0,62.0,58.0,44.0,24.0,49.0,66.0,71.0,39.0,1.0,2.0,9.0,51.0,38.0,34.0,17.0,32.0,46.0,50.0,27.0,0.0,1.0,7.0,100.0,1.0,1.0,,0.0,,1.0,,0.0,,,,,,
218352829,Xaraquin,sylvanas,24.0,114.0,,,,0.0,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,100.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
123450366,Dayls,uldaman,21.0,19725.0,58.0,67.0,64.0,50.0,38.0,17.0,0.0,36.0,6.0,11.0,8.0,8.0,6.0,3.0,21.0,4.0,7.0,4.0,3.0,1.0,0.0,44.0,44.0,57.0,60.0,55.0,57.0,33.0,0.0,33.0,100.0,60.0,43.0,36.0,44.0,42.0,11.0,7.0,6.0,1.0,3.0,1.0,5.0,19.0,16.0,25.0,25.0,6.0,4.0,2.0,0.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
156033976,Vindiknight,ravencrest,23.0,13509.0,83.0,80.0,57.0,40.0,57.0,33.0,67.0,23.0,5.0,7.0,5.0,60.0,3.0,3.0,19.0,4.0,4.0,2.0,34.0,1.0,2.0,56.0,40.0,57.0,36.0,0.0,40.0,45.0,25.0,33.0,,67.0,131.0,10.0,14.0,14.0,6.0,10.0,11.0,4.0,3.0,,3.0,73.0,4.0,8.0,5.0,0.0,4.0,5.0,1.0,1.0,,2.0,,,,,35.0,,17.0,,6.0,0.0,1.0,0.0,,,
188402402,Ergard,the-maelstrom,49.0,4855.0,73.0,78.0,50.0,,,100.0,50.0,11.0,9.0,6.0,,,2.0,2.0,8.0,7.0,3.0,,,2.0,1.0,40.0,38.0,44.0,25.0,50.0,27.0,50.0,50.0,100.0,,,10.0,13.0,9.0,8.0,4.0,11.0,6.0,4.0,2.0,,,4.0,5.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,
113142020,Stonehead,shattrath,15.0,922.0,100.0,,20.0,,20.0,50.0,,1.0,,5.0,,5.0,4.0,,1.0,,1.0,,1.0,2.0,,,,100.0,,43.0,67.0,100.0,0.0,,50.0,0.0,,,3.0,,7.0,3.0,2.0,1.0,,2.0,1.0,,,3.0,,3.0,2.0,2.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,
192599651,Aalmae,silvermoon,7.0,180.0,,,0.0,100.0,,0.0,,,,1.0,1.0,,1.0,,,,0.0,1.0,,0.0,,,,,,0.0,100.0,0.0,,0.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,0.0,1.0,0.0,,0.0,,,,,,,0.0,,1.0,,0.0,,,,,,
170267257,Neb,shattered-hand,19.0,5048.0,83.0,60.0,63.0,,,,,6.0,15.0,19.0,,,,,5.0,9.0,12.0,,,,,52.0,45.0,67.0,33.0,74.0,59.0,57.0,69.0,,,,27.0,22.0,12.0,3.0,23.0,27.0,21.0,16.0,,,,14.0,10.0,8.0,1.0,17.0,16.0,12.0,11.0,,,,,,,,,,,,,,,,,,
64791081,Ревирант,gordunni,57.0,7346.0,50.0,0.0,72.0,50.0,59.0,86.0,0.0,2.0,1.0,18.0,8.0,17.0,7.0,2.0,1.0,0.0,13.0,4.0,10.0,6.0,0.0,45.0,100.0,38.0,71.0,50.0,29.0,56.0,33.0,100.0,38.0,33.0,22.0,1.0,13.0,7.0,14.0,31.0,16.0,3.0,1.0,8.0,6.0,10.0,1.0,5.0,5.0,7.0,9.0,9.0,1.0,1.0,3.0,2.0,100.0,5.0,5.0,,,,,,,,,,,,
67595897,Artstone,ravencrest,68.0,18914.0,58.0,63.0,67.0,100.0,100.0,100.0,50.0,77.0,35.0,18.0,1.0,1.0,1.0,2.0,45.0,22.0,12.0,1.0,1.0,1.0,1.0,64.0,60.0,52.0,48.0,47.0,54.0,50.0,27.0,0.0,,,83.0,57.0,63.0,56.0,17.0,13.0,12.0,11.0,3.0,,,53.0,34.0,33.0,27.0,8.0,7.0,6.0,3.0,0.0,,,,,,4000.0,,1.0,,40.0,,,,,,,
193772441,Madares,silvermoon,15.0,1545.0,0.0,50.0,50.0,0.0,100.0,0.0,100.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,0.0,2.0,2.0,0.0,3.0,0.0,3.0,,,0.0,,100.0,50.0,50.0,,50.0,,25.0,,,1.0,,1.0,2.0,2.0,,2.0,,4.0,,,0.0,,1.0,1.0,1.0,,1.0,,1.0,,,,100.0,,1.0,,1.0,,,,,,,
184106006,Спангебуб,gordunni,59.0,13508.0,70.0,40.0,52.0,77.0,75.0,57.0,53.0,10.0,10.0,25.0,22.0,16.0,7.0,17.0,7.0,4.0,13.0,17.0,12.0,4.0,9.0,33.0,100.0,82.0,,33.0,69.0,86.0,80.0,100.0,100.0,33.0,3.0,2.0,11.0,,12.0,26.0,7.0,5.0,2.0,3.0,6.0,1.0,2.0,9.0,,4.0,18.0,6.0,4.0,2.0,3.0,2.0,100.0,19.0,19.0,50.0,40.0,4.0,5.0,2.0,2.0,,,,,,
127168376,Andgrod,minahonda,16.0,4570.0,0.0,75.0,44.0,75.0,50.0,75.0,,2.0,4.0,16.0,4.0,6.0,4.0,,0.0,3.0,7.0,3.0,3.0,3.0,,85.0,55.0,55.0,44.0,35.0,67.0,71.0,59.0,,50.0,,13.0,11.0,11.0,9.0,17.0,18.0,17.0,17.0,,2.0,,11.0,6.0,6.0,4.0,6.0,12.0,12.0,10.0,,1.0,,,,,,,,,,,,,,,,
139762690,Favre,hyjal,21.0,12845.0,43.0,79.0,53.0,60.0,67.0,50.0,33.0,14.0,19.0,15.0,5.0,6.0,4.0,9.0,6.0,15.0,8.0,3.0,4.0,2.0,3.0,33.0,33.0,29.0,21.0,33.0,41.0,57.0,42.0,,,80.0,9.0,9.0,14.0,14.0,15.0,17.0,14.0,12.0,,,5.0,3.0,3.0,4.0,3.0,5.0,7.0,8.0,5.0,,,4.0,,,,,,,,,,,,,,,
113620817,Cykapala,ravencrest,15.0,3411.0,67.0,67.0,17.0,67.0,25.0,75.0,100.0,3.0,3.0,6.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,,,53.0,,50.0,86.0,100.0,100.0,,,50.0,,,15.0,,4.0,7.0,2.0,1.0,,,4.0,,,8.0,,2.0,6.0,2.0,1.0,,,2.0,,,,,,,,,,,,,,,
148198080,Virtualpala,blackmoore,7.0,684.0,67.0,100.0,,100.0,,,100.0,3.0,3.0,,1.0,,,1.0,2.0,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114207216,Patch,ravencrest,12.0,40669.0,48.0,53.0,44.0,75.0,52.0,100.0,50.0,143.0,106.0,9.0,4.0,31.0,2.0,2.0,68.0,56.0,4.0,3.0,16.0,2.0,1.0,69.0,65.0,61.0,55.0,52.0,70.0,69.0,60.0,,0.0,50.0,95.0,102.0,83.0,91.0,58.0,10.0,77.0,5.0,,1.0,2.0,66.0,66.0,51.0,50.0,30.0,7.0,53.0,3.0,,0.0,1.0,100.0,29.0,29.0,,20.0,,5.0,,1.0,,,,,,
188759228,Karmacharger,silvermoon,13.0,410.0,,,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,,,,,,,,,,50.0,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
96768294,Vasilipupkin,antonidas,122.0,141705.0,62.0,60.0,63.0,77.0,19.0,50.0,33.0,271.0,121.0,144.0,13.0,16.0,4.0,6.0,168.0,73.0,91.0,10.0,3.0,2.0,2.0,57.0,55.0,53.0,55.0,56.0,52.0,53.0,51.0,,33.0,50.0,512.0,477.0,300.0,211.0,209.0,132.0,202.0,89.0,,3.0,2.0,294.0,263.0,160.0,116.0,117.0,68.0,107.0,45.0,,1.0,1.0,100.0,10.0,10.0,3225.0,0.0,4.0,2.0,129.0,0.0,,,,,,
118609313,Wipepower,ravencrest,26.0,2893.0,78.0,17.0,100.0,86.0,33.0,75.0,33.0,9.0,6.0,2.0,7.0,3.0,4.0,6.0,7.0,1.0,2.0,6.0,1.0,3.0,2.0,,,100.0,,50.0,100.0,100.0,,0.0,,0.0,,,4.0,,2.0,1.0,1.0,,1.0,,1.0,,,4.0,,1.0,1.0,1.0,,0.0,,0.0,,,,100.0,0.0,1.0,1.0,1.0,0.0,,,,,,
192498688,Эндоул,gordunni,12.0,2723.0,0.0,50.0,0.0,67.0,100.0,100.0,25.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,,,100.0,,0.0,50.0,25.0,,0.0,25.0,,,,1.0,,1.0,2.0,4.0,,1.0,4.0,,,,1.0,,0.0,1.0,1.0,,0.0,1.0,,100.0,2.0,2.0,,0.0,,1.0,,0.0,,,,,,
168998405,Sarthigas,dalaran,23.0,7694.0,55.0,81.0,43.0,88.0,64.0,62.0,56.0,33.0,27.0,7.0,8.0,11.0,13.0,18.0,18.0,22.0,3.0,7.0,7.0,8.0,10.0,,,57.0,,60.0,47.0,70.0,,67.0,,57.0,,,7.0,,10.0,15.0,10.0,,6.0,,7.0,,,4.0,,6.0,7.0,7.0,,4.0,,4.0,,,,,,,,,,,,,,,
188124681,Kuromiko,silvermoon,16.0,4777.0,70.0,33.0,67.0,0.0,67.0,40.0,67.0,10.0,6.0,3.0,1.0,3.0,5.0,3.0,7.0,2.0,2.0,0.0,2.0,2.0,2.0,25.0,100.0,58.0,60.0,60.0,29.0,43.0,,,100.0,40.0,4.0,4.0,12.0,5.0,5.0,7.0,7.0,,,1.0,5.0,1.0,4.0,7.0,3.0,3.0,2.0,3.0,,,1.0,2.0,,,,,0.0,,1.0,,0.0,,,,,,
245745408,Asireth,the-maelstrom,4.0,10315.0,43.0,0.0,80.0,,,,,23.0,2.0,5.0,,,,,10.0,0.0,4.0,,,,,50.0,100.0,25.0,67.0,33.0,100.0,67.0,75.0,,,,10.0,2.0,4.0,3.0,6.0,1.0,3.0,4.0,,,,5.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,
99250043,Amicitia,antonidas,64.0,11534.0,0.0,50.0,57.0,80.0,63.0,69.0,100.0,1.0,6.0,37.0,45.0,41.0,32.0,2.0,0.0,3.0,21.0,36.0,26.0,22.0,2.0,,,48.0,,70.0,61.0,44.0,85.0,0.0,57.0,43.0,,,27.0,,30.0,56.0,34.0,20.0,1.0,7.0,7.0,,,13.0,,21.0,34.0,15.0,17.0,0.0,4.0,3.0,100.0,2.0,2.0,,,,,,,,,,,,
94673446,Megnar,twisting-nether,176.0,24035.0,24.0,7.0,61.0,860.0,50.0,50.0,50.0,29.0,14.0,107.0,5.0,4.0,4.0,6.0,7.0,1.0,65.0,43.0,2.0,2.0,3.0,59.0,55.0,57.0,48.0,54.0,53.0,60.0,67.0,33.0,,43.0,103.0,64.0,42.0,25.0,100.0,95.0,97.0,45.0,3.0,,7.0,61.0,35.0,24.0,12.0,54.0,50.0,58.0,30.0,1.0,,3.0,,,,81.0,,16.0,,13.0,,,,,,,
110901144,Blademasteer,jaedenar,71.0,17344.0,40.0,24.0,39.0,57.0,60.0,17.0,0.0,53.0,58.0,18.0,7.0,5.0,6.0,4.0,21.0,14.0,7.0,4.0,3.0,1.0,0.0,55.0,50.0,53.0,48.0,48.0,56.0,47.0,67.0,,67.0,17.0,38.0,34.0,38.0,42.0,44.0,18.0,51.0,6.0,,3.0,6.0,21.0,17.0,20.0,20.0,21.0,10.0,24.0,4.0,,2.0,1.0,,,,200.0,0.0,7.0,1.0,14.0,0.0,,,,,,
133696445,Jetsetter,draenor,47.0,21395.0,50.0,50.0,68.0,29.0,0.0,100.0,17.0,106.0,38.0,47.0,7.0,2.0,2.0,6.0,53.0,19.0,32.0,2.0,0.0,2.0,1.0,60.0,73.0,61.0,60.0,69.0,51.0,74.0,65.0,75.0,,0.0,25.0,30.0,33.0,15.0,32.0,35.0,38.0,26.0,4.0,,1.0,15.0,22.0,20.0,9.0,22.0,18.0,28.0,17.0,3.0,,0.0,,,,,,,,,,,,,,,
158366847,Epicskillz,conseil-des-ombres,40.0,129912.0,48.0,58.0,63.0,67.0,90.0,62.0,40.0,101.0,115.0,212.0,21.0,10.0,13.0,5.0,48.0,67.0,134.0,14.0,9.0,8.0,2.0,60.0,49.0,53.0,54.0,60.0,59.0,53.0,59.0,50.0,0.0,62.0,503.0,277.0,282.0,209.0,398.0,184.0,323.0,90.0,2.0,1.0,13.0,303.0,136.0,150.0,112.0,238.0,108.0,172.0,53.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
199152184,Слипноумо,gordunni,16.0,1928.0,50.0,,50.0,75.0,0.0,67.0,0.0,2.0,,2.0,8.0,1.0,3.0,1.0,1.0,,1.0,6.0,0.0,2.0,0.0,,,100.0,,67.0,60.0,,,,,33.0,,,5.0,,6.0,10.0,,,,,3.0,,,5.0,,4.0,6.0,,,,,1.0,,,,,,,,,,,,,,,
145636880,Fodenpala,twisting-nether,57.0,4295.0,40.0,33.0,75.0,50.0,44.0,50.0,33.0,5.0,3.0,4.0,6.0,9.0,10.0,3.0,2.0,1.0,3.0,3.0,4.0,5.0,1.0,,,43.0,,25.0,33.0,100.0,0.0,100.0,,50.0,,,7.0,,4.0,3.0,5.0,3.0,1.0,,2.0,,,3.0,,1.0,1.0,5.0,0.0,1.0,,1.0,,,,50.0,,2.0,,1.0,,,,,,,
144130261,Postedeguill,dalaran,37.0,12301.0,62.0,57.0,56.0,100.0,29.0,100.0,60.0,24.0,7.0,9.0,10.0,7.0,1.0,5.0,15.0,4.0,5.0,10.0,2.0,1.0,3.0,50.0,46.0,59.0,67.0,27.0,50.0,53.0,60.0,0.0,0.0,,40.0,26.0,27.0,12.0,11.0,16.0,15.0,5.0,2.0,3.0,,20.0,12.0,16.0,8.0,3.0,8.0,8.0,3.0,0.0,0.0,,100.0,2.0,2.0,,,,,,,,,,,,
155352004,Løoby,dalaran,121.0,11772.0,100.0,100.0,37.0,55.0,78.0,55.0,67.0,1.0,2.0,52.0,65.0,18.0,20.0,6.0,1.0,2.0,19.0,36.0,14.0,11.0,4.0,77.0,33.0,45.0,,67.0,47.0,61.0,47.0,0.0,,58.0,26.0,15.0,40.0,,58.0,51.0,57.0,17.0,4.0,,12.0,20.0,5.0,18.0,,39.0,24.0,35.0,8.0,0.0,,7.0,,,,100.0,,8.0,,8.0,,,,,,,
118696238,Elektraa,burning-legion,39.0,29559.0,62.0,44.0,58.0,62.0,0.0,86.0,100.0,63.0,41.0,19.0,8.0,3.0,7.0,2.0,39.0,18.0,11.0,5.0,0.0,6.0,2.0,55.0,59.0,65.0,62.0,47.0,50.0,59.0,50.0,50.0,,60.0,80.0,90.0,80.0,106.0,17.0,12.0,17.0,4.0,4.0,,5.0,44.0,53.0,52.0,66.0,8.0,6.0,10.0,2.0,2.0,,3.0,,,,4600.0,,1.0,,46.0,,,,,,,
107271066,Twardziejszy,ravencrest,5.0,872.0,100.0,100.0,100.0,50.0,100.0,100.0,50.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,0.0,,33.0,0.0,100.0,,,,100.0,,,1.0,,3.0,1.0,1.0,,,,1.0,,,0.0,,1.0,0.0,1.0,,,,1.0,,,,0.0,100.0,1.0,1.0,0.0,1.0,,,,,,
158514551,Shoboligofut,tarren-mill,22.0,4632.0,24.0,16.0,47.0,0.0,100.0,0.0,100.0,17.0,19.0,17.0,1.0,1.0,1.0,1.0,4.0,3.0,8.0,0.0,1.0,0.0,1.0,67.0,33.0,50.0,0.0,57.0,65.0,56.0,60.0,,,,15.0,9.0,6.0,2.0,7.0,17.0,16.0,5.0,,,,10.0,3.0,3.0,0.0,4.0,11.0,9.0,3.0,,,,,,,,,,,,,,,,,,
194386574,Bigclock,outland,43.0,1762.0,,,50.0,71.0,50.0,80.0,,,,6.0,7.0,10.0,10.0,,,,3.0,5.0,5.0,8.0,,,,80.0,,17.0,55.0,100.0,,,,78.0,,,5.0,,6.0,11.0,6.0,,,,9.0,,,4.0,,1.0,6.0,6.0,,,,7.0,,,,57.0,,7.0,,4.0,,,,,,,
180109619,Yaminosenshi,hellfire,7.0,3749.0,67.0,0.0,,,60.0,0.0,33.0,3.0,2.0,,,5.0,1.0,3.0,2.0,0.0,,,3.0,0.0,1.0,0.0,0.0,67.0,,33.0,67.0,0.0,,,,67.0,1.0,1.0,3.0,,3.0,3.0,1.0,,,,3.0,0.0,0.0,2.0,,1.0,2.0,0.0,,,,2.0,,,,,50.0,,4.0,,2.0,,,,,,
62894345,Róman,aggramar,34.0,4961.0,58.0,50.0,33.0,67.0,100.0,75.0,33.0,31.0,14.0,6.0,3.0,2.0,4.0,6.0,18.0,7.0,2.0,2.0,2.0,3.0,2.0,60.0,56.0,20.0,0.0,67.0,50.0,100.0,0.0,57.0,,25.0,15.0,9.0,10.0,3.0,3.0,2.0,2.0,2.0,7.0,,4.0,9.0,5.0,2.0,0.0,2.0,1.0,2.0,0.0,4.0,,1.0,100.0,2.0,2.0,,,,,,,,,,,,
170717326,Нортрет,gordunni,93.0,10046.0,67.0,0.0,73.0,233.0,100.0,0.0,75.0,6.0,1.0,113.0,3.0,3.0,1.0,4.0,4.0,0.0,83.0,7.0,3.0,0.0,3.0,25.0,100.0,67.0,,100.0,40.0,50.0,67.0,,67.0,67.0,8.0,1.0,3.0,,6.0,5.0,6.0,3.0,,3.0,3.0,2.0,1.0,2.0,,6.0,2.0,3.0,2.0,,2.0,2.0,100.0,6.0,6.0,,,,,,,0.0,1.0,0.0,,,
180191286,Альтошка,gordunni,17.0,3076.0,75.0,0.0,25.0,71.0,100.0,0.0,50.0,4.0,1.0,4.0,7.0,1.0,2.0,2.0,3.0,0.0,1.0,5.0,1.0,0.0,1.0,33.0,,67.0,,25.0,43.0,67.0,0.0,100.0,,33.0,6.0,,3.0,,4.0,7.0,6.0,1.0,2.0,,3.0,2.0,,2.0,,1.0,3.0,4.0,0.0,2.0,,1.0,,,,,,,,,,,,,,,
166631802,Darkghost,hyjal,51.0,9511.0,29.0,57.0,50.0,50.0,60.0,50.0,0.0,7.0,7.0,14.0,10.0,5.0,2.0,2.0,2.0,4.0,7.0,5.0,3.0,1.0,0.0,44.0,71.0,27.0,,25.0,29.0,64.0,30.0,,,,18.0,7.0,11.0,,12.0,7.0,11.0,10.0,,,,8.0,5.0,3.0,,3.0,2.0,7.0,3.0,,,,,,,,0.0,,3.0,,0.0,,,,,,
185122145,Кромвар,gordunni,79.0,11551.0,50.0,50.0,56.0,55.0,53.0,71.0,0.0,10.0,6.0,16.0,11.0,15.0,7.0,3.0,5.0,3.0,9.0,6.0,8.0,5.0,0.0,29.0,33.0,77.0,80.0,57.0,72.0,42.0,83.0,100.0,,100.0,7.0,6.0,13.0,5.0,21.0,18.0,24.0,6.0,2.0,,5.0,2.0,2.0,10.0,4.0,12.0,13.0,10.0,5.0,2.0,,5.0,,,,,,,,,,,,,,,
192656603,Пчелобав,gordunni,48.0,1256.0,50.0,100.0,60.0,,100.0,100.0,33.0,2.0,2.0,5.0,,1.0,1.0,3.0,1.0,2.0,3.0,,1.0,1.0,1.0,,,50.0,,100.0,50.0,,,50.0,50.0,,,,2.0,,1.0,2.0,,,2.0,2.0,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
115287737,Look,throkferoth,87.0,3041.0,50.0,,67.0,67.0,50.0,50.0,33.0,2.0,,9.0,12.0,4.0,4.0,3.0,1.0,,6.0,8.0,2.0,2.0,1.0,,,57.0,,50.0,58.0,50.0,50.0,,,20.0,,,7.0,,8.0,12.0,10.0,2.0,,,5.0,,,4.0,,4.0,7.0,5.0,1.0,,,1.0,,,,,,,,,,,,,,,
188133537,Paliçh,hyjal,32.0,32841.0,57.0,68.0,49.0,80.0,,50.0,100.0,54.0,68.0,63.0,5.0,,2.0,1.0,31.0,46.0,31.0,4.0,,1.0,1.0,37.0,49.0,34.0,42.0,31.0,46.0,48.0,58.0,100.0,,33.0,130.0,71.0,86.0,50.0,61.0,61.0,75.0,26.0,1.0,,3.0,48.0,35.0,29.0,21.0,19.0,28.0,36.0,15.0,1.0,,1.0,,,,,,,,,,,,,,,
226377027,Battleharden,sylvanas,10.0,1075.0,100.0,,50.0,100.0,,100.0,75.0,2.0,,2.0,1.0,,1.0,4.0,2.0,,1.0,1.0,,1.0,3.0,,,100.0,,0.0,,0.0,,0.0,,50.0,,,1.0,,2.0,,1.0,,1.0,,2.0,,,1.0,,0.0,,0.0,,0.0,,1.0,,,,50.0,,2.0,,1.0,,,,,,,
246847427,Rich,sylvanas,46.0,6439.0,46.0,50.0,38.0,64.0,46.0,71.0,46.0,13.0,12.0,13.0,14.0,13.0,7.0,13.0,6.0,6.0,5.0,9.0,6.0,5.0,6.0,33.0,0.0,18.0,,50.0,60.0,42.0,75.0,,,60.0,3.0,1.0,11.0,,8.0,15.0,12.0,4.0,,,10.0,1.0,0.0,2.0,,4.0,9.0,5.0,3.0,,,6.0,100.0,3.0,3.0,100.0,,1.0,,1.0,,,,,,,
110828335,Hibiya,dun-modr,29.0,6185.0,67.0,25.0,67.0,100.0,,0.0,100.0,6.0,4.0,3.0,1.0,,1.0,1.0,4.0,1.0,2.0,1.0,,0.0,1.0,67.0,50.0,33.0,100.0,0.0,40.0,100.0,0.0,,,100.0,3.0,2.0,3.0,1.0,1.0,5.0,1.0,1.0,,,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,,,2.0,,,,,0.0,,2.0,,0.0,,,,,,
168522770,Bakmachine,ragnaros,4.0,411.0,,,100.0,,,,100.0,,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,0.0,0.0,,,,,,,,,,1.0,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
194231961,Selliuocsem,archimonde,22.0,2547.0,100.0,100.0,25.0,50.0,60.0,50.0,50.0,1.0,3.0,8.0,10.0,10.0,10.0,2.0,1.0,3.0,2.0,5.0,6.0,5.0,1.0,,,50.0,,36.0,56.0,62.0,,33.0,,75.0,,,2.0,,11.0,16.0,13.0,,3.0,,4.0,,,1.0,,4.0,9.0,8.0,,1.0,,3.0,,,,33.0,,9.0,,3.0,,,,,,,
165077509,Hotoh,argent-dawn,33.0,4385.0,44.0,67.0,75.0,62.0,47.0,55.0,43.0,9.0,6.0,8.0,13.0,15.0,11.0,7.0,4.0,4.0,6.0,8.0,7.0,6.0,3.0,,,25.0,,57.0,33.0,78.0,,17.0,100.0,22.0,,,4.0,,7.0,12.0,9.0,,6.0,2.0,9.0,,,1.0,,4.0,4.0,7.0,,1.0,2.0,2.0,,,,36.0,,14.0,,5.0,,,,,100.0,1.0,1.0
146437861,Majtipapusza,the-maelstrom,136.0,22170.0,67.0,72.0,73.0,73.0,43.0,90.0,40.0,21.0,18.0,33.0,11.0,7.0,10.0,5.0,14.0,13.0,24.0,8.0,3.0,9.0,2.0,43.0,62.0,61.0,71.0,57.0,68.0,54.0,69.0,50.0,100.0,100.0,23.0,21.0,18.0,7.0,23.0,28.0,26.0,26.0,2.0,1.0,4.0,10.0,13.0,11.0,5.0,13.0,19.0,14.0,18.0,1.0,1.0,4.0,,,,,,,,,,,,,,,
155879663,Honeymelon,antonidas,9.0,18426.0,54.0,89.0,,,0.0,,,50.0,9.0,,,1.0,,,27.0,8.0,,,0.0,,,54.0,60.0,52.0,56.0,17.0,,62.0,,0.0,,,52.0,53.0,63.0,57.0,6.0,,8.0,,1.0,,,28.0,32.0,33.0,32.0,1.0,,5.0,,0.0,,,,,,,,,,,,,,,,,
153806585,Мст,gordunni,20.0,2581.0,50.0,50.0,75.0,40.0,75.0,33.0,100.0,4.0,4.0,8.0,10.0,8.0,6.0,3.0,2.0,2.0,6.0,4.0,6.0,2.0,3.0,,,29.0,,33.0,46.0,69.0,67.0,0.0,100.0,50.0,,,7.0,,6.0,13.0,13.0,3.0,1.0,2.0,6.0,,,2.0,,2.0,6.0,9.0,2.0,0.0,2.0,3.0,100.0,4.0,4.0,80.0,0.0,5.0,2.0,4.0,0.0,,,,,,
152819216,Izhert,sanguino,38.0,10896.0,55.0,44.0,61.0,68.0,68.0,59.0,33.0,11.0,9.0,33.0,37.0,19.0,22.0,3.0,6.0,4.0,20.0,25.0,13.0,13.0,1.0,62.0,71.0,73.0,,67.0,57.0,57.0,58.0,0.0,,65.0,24.0,7.0,15.0,,33.0,42.0,37.0,12.0,1.0,,17.0,15.0,5.0,11.0,,22.0,24.0,21.0,7.0,0.0,,11.0,,,,25.0,50.0,8.0,4.0,2.0,2.0,,,,,,
248108030,Onespeedy,sylvanas,32.0,602.0,,,,50.0,50.0,0.0,0.0,,,,2.0,2.0,1.0,1.0,,,,1.0,1.0,0.0,0.0,,,50.0,,0.0,50.0,,,,100.0,,,,2.0,,1.0,2.0,,,,1.0,,,,1.0,,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
165155620,Lêgain,silvermoon,56.0,5447.0,33.0,0.0,60.0,47.0,57.0,70.0,0.0,3.0,3.0,20.0,17.0,7.0,10.0,2.0,1.0,0.0,12.0,8.0,4.0,7.0,0.0,67.0,54.0,50.0,,33.0,64.0,35.0,20.0,33.0,100.0,50.0,6.0,13.0,6.0,,12.0,14.0,23.0,5.0,3.0,1.0,12.0,4.0,7.0,3.0,,4.0,9.0,8.0,1.0,1.0,1.0,6.0,,,,120.0,,10.0,,12.0,,,,,,,
