character.id,character.name,character.realm.slug,honor_level,honorable_kills,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Ashran played,Seething Shore played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Ashran won,Seething Shore won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Warsong Gulch win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Deepwind Gorge (Legacy) played,Warsong Gulch played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Deepwind Gorge (Legacy) won,Warsong Gulch won,Isle of Conquest win_rate,Isle of Conquest played,Isle of Conquest won,Strand of the Ancients win_rate,Korrak's Revenge win_rate,Strand of the Ancients played,Korrak's Revenge played,Strand of the Ancients won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Cooking: Impossible win_rate,Southshore vs. Tarren Mill played,Cooking: Impossible played,Southshore vs. Tarren Mill won,Cooking: Impossible won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won
154135172,Imaqtcats,sanguino,7.0,691.0,0.0,71.0,75.0,100.0,50.0,,100.0,0.0,100.0,100.0,2.0,7.0,4.0,1.0,2.0,,1.0,3.0,1.0,1.0,0.0,5.0,3.0,1.0,1.0,,1.0,0.0,1.0,1.0,,,,,,50.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
147280595,Negativedmg,kazzak,179.0,67969.0,91.0,86.0,91.0,,75.0,67.0,133.0,100.0,46.0,100.0,11.0,7.0,11.0,,12.0,3.0,3.0,1.0,13.0,3.0,10.0,6.0,10.0,,9.0,2.0,4.0,1.0,6.0,3.0,82.0,80.0,57.0,62.0,100.0,50.0,11.0,10.0,7.0,8.0,4.0,2.0,9.0,8.0,4.0,5.0,4.0,1.0,36.0,14.0,5.0,60.0,,10.0,,6.0,,,,,,,,,,,,,
109090209,Sïgmûnd,stormscale,22.0,1132.0,80.0,50.0,100.0,,75.0,,100.0,50.0,,0.0,5.0,2.0,2.0,,4.0,,2.0,2.0,,2.0,4.0,1.0,2.0,,3.0,,2.0,1.0,,0.0,100.0,,100.0,75.0,50.0,100.0,1.0,,1.0,4.0,2.0,2.0,1.0,,1.0,3.0,1.0,2.0,100.0,4.0,4.0,,,,,,,,,,,,,,,,,,
193148121,Aléxr,kazzak,71.0,31170.0,44.0,56.0,67.0,4200.0,57.0,100.0,64.0,100.0,50.0,100.0,34.0,18.0,30.0,1.0,28.0,2.0,11.0,1.0,2.0,2.0,15.0,10.0,20.0,42.0,16.0,2.0,7.0,1.0,1.0,2.0,60.0,46.0,53.0,48.0,57.0,100.0,78.0,127.0,116.0,98.0,7.0,7.0,47.0,58.0,62.0,47.0,4.0,7.0,63.0,73.0,46.0,43.0,,100.0,,43.0,,,,,,,,,,,,,
188367630,Odaine,hyjal,28.0,1458.0,17.0,100.0,0.0,,100.0,50.0,0.0,100.0,0.0,33.0,6.0,2.0,1.0,,2.0,4.0,2.0,2.0,4.0,3.0,1.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,1.0,50.0,,,50.0,,50.0,2.0,,,2.0,,4.0,1.0,,,1.0,,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
176578048,Kuangp,twisting-nether,17.0,41.0,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142937633,Caesar,rexxar,93.0,1375.0,57.0,67.0,71.0,,78.0,,,,,,7.0,6.0,7.0,,9.0,,,,,,4.0,4.0,5.0,,7.0,,,,,,0.0,17.0,100.0,,50.0,,1.0,6.0,3.0,,4.0,,0.0,1.0,3.0,,2.0,,0.0,1.0,0.0,0.0,,1.0,,0.0,,,,,,,,,,,,,
164676101,Algrunas,kazzak,16.0,1342.0,100.0,0.0,,,33.0,,,,,100.0,2.0,2.0,,,3.0,,,,,2.0,2.0,0.0,,,1.0,,,,,2.0,50.0,67.0,100.0,33.0,50.0,,2.0,3.0,1.0,3.0,2.0,,1.0,2.0,1.0,1.0,1.0,,67.0,3.0,2.0,,,,,,,,,,,,,,,,100.0,1.0,1.0
134733100,Golakhtashan,draenor,18.0,476.0,100.0,,0.0,,50.0,0.0,0.0,0.0,,33.0,1.0,,3.0,,2.0,1.0,1.0,1.0,,3.0,1.0,,0.0,,1.0,0.0,0.0,0.0,,1.0,,,,100.0,,50.0,,,,1.0,,2.0,,,,1.0,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
158487277,Crazywings,blackhand,14.0,1206.0,50.0,100.0,75.0,50.0,100.0,,100.0,50.0,100.0,50.0,4.0,1.0,4.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,,2.0,1.0,1.0,1.0,100.0,,,100.0,,50.0,1.0,,,3.0,,2.0,1.0,,,3.0,,1.0,,,,,,,,,,100.0,1.0,1.0,,,,,,,,,
69296778,Wtsfood,stormscale,12.0,17680.0,43.0,,88.0,,100.0,100.0,,,25.0,,7.0,,8.0,,2.0,2.0,,,4.0,,3.0,,7.0,,2.0,2.0,,,1.0,,43.0,62.0,52.0,55.0,0.0,,134.0,97.0,77.0,85.0,1.0,,58.0,60.0,40.0,47.0,0.0,,64.0,39.0,25.0,46.0,,83.0,,38.0,,,,,,,,,,,,,
106800348,Iliriel,archimonde,7.0,2700.0,0.0,100.0,50.0,,33.0,,,,,,1.0,1.0,2.0,,3.0,,,,,,0.0,1.0,1.0,,1.0,,,,,,57.0,67.0,40.0,40.0,,,7.0,6.0,5.0,5.0,,,4.0,4.0,2.0,2.0,,,50.0,2.0,1.0,0.0,,1.0,,0.0,,,,,,,,,,,,,
88842309,Icra,eredar,11.0,1906.0,75.0,67.0,40.0,,40.0,,50.0,50.0,,50.0,4.0,3.0,5.0,,5.0,,2.0,2.0,,2.0,3.0,2.0,2.0,,2.0,,1.0,1.0,,1.0,,33.0,67.0,40.0,100.0,100.0,,3.0,3.0,5.0,2.0,3.0,,1.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,80.0,,5.0,,4.0,,,,,,,,,,,,,
129605274,Tyraf,tarren-mill,23.0,6214.0,46.0,80.0,74.0,,65.0,,300.0,,,,13.0,15.0,19.0,,20.0,,2.0,,,,6.0,12.0,14.0,,13.0,,6.0,,,,35.0,76.0,64.0,61.0,75.0,0.0,20.0,17.0,25.0,18.0,12.0,1.0,7.0,13.0,16.0,11.0,9.0,0.0,24.0,17.0,4.0,50.0,,10.0,,5.0,,,,,,,,,,,100.0,39.0,39.0
163525967,Bughydin,draenor,25.0,6728.0,54.0,71.0,70.0,,75.0,100.0,65.0,73.0,100.0,,13.0,14.0,10.0,,16.0,2.0,17.0,15.0,5.0,,7.0,10.0,7.0,,12.0,2.0,11.0,11.0,5.0,,33.0,38.0,67.0,65.0,50.0,42.0,3.0,8.0,6.0,17.0,4.0,12.0,1.0,3.0,4.0,11.0,2.0,5.0,36.0,11.0,4.0,,,,,,,100.0,2.0,2.0,,,,,,,100.0,15.0,15.0
160531913,Kanris,sanguino,12.0,1192.0,,100.0,0.0,,100.0,,,0.0,0.0,0.0,,2.0,1.0,,2.0,,,1.0,1.0,2.0,,2.0,0.0,,2.0,,,0.0,0.0,0.0,100.0,100.0,,,,0.0,1.0,3.0,,,,1.0,1.0,3.0,,,,0.0,,,,,100.0,,1.0,,1.0,,,,,,,,,,100.0,5.0,5.0
78769113,Экзекуторс,howling-fjord,47.0,31676.0,46.0,60.0,40.0,2200.0,48.0,80.0,20.0,100.0,50.0,33.0,65.0,30.0,62.0,1.0,66.0,5.0,5.0,3.0,6.0,3.0,30.0,18.0,25.0,22.0,32.0,4.0,1.0,3.0,3.0,1.0,41.0,36.0,41.0,53.0,10.0,67.0,81.0,95.0,70.0,81.0,10.0,3.0,33.0,34.0,29.0,43.0,1.0,2.0,32.0,81.0,26.0,50.0,,68.0,,34.0,,,,,,,,,,,,,
101228281,Reava,alleria,76.0,11264.0,65.0,76.0,52.0,75.0,53.0,33.0,39.0,20.0,60.0,50.0,34.0,33.0,27.0,4.0,32.0,3.0,18.0,10.0,5.0,6.0,22.0,25.0,14.0,3.0,17.0,1.0,7.0,2.0,3.0,3.0,58.0,40.0,80.0,62.0,62.0,43.0,31.0,10.0,15.0,26.0,8.0,21.0,18.0,4.0,12.0,16.0,5.0,9.0,70.0,20.0,14.0,68.0,,19.0,,13.0,,,,,,,,,,,100.0,2.0,2.0
133696445,Jetsetter,draenor,47.0,21395.0,69.0,51.0,74.0,,68.0,75.0,29.0,100.0,17.0,0.0,32.0,35.0,38.0,,47.0,4.0,7.0,2.0,6.0,1.0,22.0,18.0,28.0,,32.0,3.0,2.0,2.0,1.0,0.0,50.0,60.0,73.0,61.0,65.0,0.0,106.0,25.0,30.0,33.0,26.0,2.0,53.0,15.0,22.0,20.0,17.0,0.0,50.0,38.0,19.0,60.0,,15.0,,9.0,,,,,,,,,,,,,
184227887,Glôr,nemesis,13.0,998.0,100.0,,67.0,,,0.0,0.0,0.0,0.0,0.0,1.0,,3.0,,,1.0,1.0,2.0,3.0,3.0,1.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,25.0,,,,,0.0,4.0,,,,,1.0,1.0,,,,,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,
110693952,Waniaa,eredar,49.0,4075.0,53.0,45.0,73.0,75.0,52.0,,71.0,0.0,100.0,20.0,17.0,11.0,11.0,4.0,25.0,,7.0,2.0,3.0,5.0,9.0,5.0,8.0,3.0,13.0,,5.0,0.0,3.0,1.0,0.0,50.0,0.0,50.0,0.0,75.0,1.0,8.0,1.0,2.0,1.0,8.0,0.0,4.0,0.0,1.0,0.0,6.0,25.0,4.0,1.0,0.0,,1.0,,0.0,,,,,,,,,,,100.0,3.0,3.0
188436851,Vynrael,kazzak,129.0,32640.0,58.0,65.0,52.0,1800.0,55.0,,112.0,60.0,100.0,40.0,98.0,88.0,90.0,1.0,98.0,,8.0,5.0,1.0,5.0,57.0,57.0,47.0,18.0,54.0,,9.0,3.0,1.0,2.0,50.0,65.0,67.0,65.0,60.0,57.0,8.0,77.0,88.0,78.0,73.0,7.0,4.0,50.0,59.0,51.0,44.0,4.0,50.0,14.0,7.0,59.0,,37.0,,22.0,,100.0,1.0,1.0,,,,,,,100.0,5.0,5.0
76947846,Kynval,nemesis,10.0,7648.0,59.0,46.0,39.0,,27.0,,100.0,0.0,,,22.0,13.0,18.0,,11.0,,1.0,1.0,,,13.0,6.0,7.0,,3.0,,1.0,0.0,,,40.0,67.0,43.0,45.0,,100.0,20.0,33.0,21.0,22.0,,1.0,8.0,22.0,9.0,10.0,,1.0,33.0,12.0,4.0,45.0,0.0,20.0,2.0,9.0,0.0,,,,,,,,,,,,
120178573,Propalli,draenor,7.0,9142.0,67.0,100.0,50.0,,100.0,,,,,,9.0,1.0,12.0,,1.0,,,,,,6.0,1.0,6.0,,1.0,,,,,,57.0,56.0,57.0,57.0,100.0,,42.0,34.0,30.0,46.0,1.0,,24.0,19.0,17.0,26.0,1.0,,31.0,13.0,4.0,54.0,,26.0,,14.0,,,,,,,,,,,,,
165797653,Päm,twisting-nether,43.0,2115.0,0.0,67.0,0.0,,0.0,,0.0,100.0,50.0,0.0,1.0,3.0,2.0,,4.0,,1.0,2.0,4.0,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,,33.0,,33.0,1.0,,,3.0,,3.0,0.0,,,1.0,,1.0,,,,,17.0,,18.0,,3.0,,,,,,,,,,,,
166428284,Taji,hyjal,5.0,519.0,,,100.0,,,,50.0,0.0,,,,,1.0,,,,2.0,1.0,,,,,1.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110625023,Palidinøs,ysondre,12.0,1145.0,100.0,40.0,100.0,,67.0,,,,,,3.0,5.0,1.0,,3.0,,,,,,3.0,2.0,1.0,,2.0,,,,,,50.0,50.0,0.0,0.0,50.0,,2.0,2.0,1.0,2.0,4.0,,1.0,1.0,0.0,0.0,2.0,,67.0,3.0,2.0,0.0,,4.0,,0.0,,,,,,,,,,,,,
140589344,Bubblès,stormreaver,99.0,5003.0,57.0,62.0,25.0,50.0,38.0,,75.0,25.0,33.0,33.0,7.0,8.0,4.0,2.0,8.0,,4.0,4.0,6.0,6.0,4.0,5.0,1.0,1.0,3.0,,3.0,1.0,2.0,2.0,78.0,,,64.0,60.0,64.0,9.0,,,11.0,5.0,14.0,7.0,,,7.0,3.0,9.0,40.0,5.0,2.0,,100.0,,1.0,,1.0,71.0,7.0,5.0,,,,,,,100.0,9.0,9.0
152154457,Taradina,tarren-mill,21.0,808.0,100.0,0.0,0.0,,100.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,1.0,,,,,1.0,0.0,,,,,0.0,50.0,2.0,1.0,,,,,,,,,,,,,,,,,,
153375291,Loabalboa,malganis,19.0,4459.0,75.0,58.0,20.0,,89.0,,25.0,25.0,50.0,100.0,4.0,12.0,5.0,,9.0,,8.0,8.0,6.0,1.0,3.0,7.0,1.0,,8.0,,2.0,2.0,3.0,1.0,42.0,33.0,,25.0,100.0,50.0,12.0,3.0,,4.0,2.0,4.0,5.0,1.0,,1.0,2.0,2.0,50.0,6.0,3.0,100.0,,1.0,,1.0,,,,,,,,,,,,,
89592022,Kisassi,sargeras,49.0,4025.0,50.0,,100.0,,50.0,,0.0,,100.0,,4.0,,2.0,,2.0,,2.0,,1.0,,2.0,,2.0,,1.0,,0.0,,1.0,,0.0,52.0,57.0,53.0,,0.0,1.0,21.0,14.0,19.0,,1.0,0.0,11.0,8.0,10.0,,0.0,,,,80.0,,10.0,,8.0,,,,,,,,,,,,,
173771360,Avenger,archimonde,35.0,53336.0,62.0,60.0,44.0,,70.0,100.0,100.0,50.0,0.0,80.0,24.0,20.0,32.0,,23.0,1.0,2.0,4.0,1.0,5.0,15.0,12.0,14.0,,16.0,1.0,2.0,2.0,0.0,4.0,67.0,52.0,46.0,51.0,47.0,33.0,36.0,69.0,69.0,89.0,17.0,3.0,24.0,36.0,32.0,45.0,8.0,1.0,58.0,24.0,14.0,48.0,89.0,102.0,9.0,49.0,8.0,,,,,,,,,,,,
79989501,Эрубис,howling-fjord,23.0,19409.0,61.0,64.0,55.0,,77.0,,,,,,44.0,14.0,33.0,,13.0,,,,,,27.0,9.0,18.0,,10.0,,,,,,52.0,56.0,43.0,62.0,50.0,,21.0,61.0,37.0,34.0,2.0,,11.0,34.0,16.0,21.0,1.0,,69.0,29.0,20.0,61.0,,31.0,,19.0,,,,,,,,,,,,,
147116888,Ксеноо,howling-fjord,11.0,3045.0,100.0,,0.0,100.0,50.0,,0.0,,,50.0,1.0,,1.0,1.0,2.0,,1.0,,,2.0,1.0,,0.0,1.0,1.0,,0.0,,,1.0,100.0,,,,,,1.0,,,,,,1.0,,,,,,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,
163434491,Zectoz,kazzak,109.0,5581.0,70.0,75.0,69.0,0.0,56.0,56.0,,,100.0,,10.0,8.0,13.0,1.0,16.0,9.0,,,8.0,,7.0,6.0,9.0,0.0,9.0,5.0,,,8.0,,36.0,40.0,33.0,64.0,29.0,67.0,14.0,5.0,9.0,11.0,7.0,3.0,5.0,2.0,3.0,7.0,2.0,2.0,25.0,8.0,2.0,91.0,,11.0,,10.0,,,,,,,,,,,,,
154149298,Yonuno,sanguino,4.0,1099.0,50.0,,50.0,,100.0,,0.0,,,,2.0,,2.0,,1.0,,3.0,,,,1.0,,1.0,,1.0,,0.0,,,,40.0,0.0,,67.0,,,5.0,2.0,,6.0,,,2.0,0.0,,4.0,,,33.0,6.0,2.0,,,,,,,,,,,,,,,,,,
