character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won
151740789,Аббигайль,howling-fjord,58.0,14103.0,43.0,74.0,33.0,64.0,65.0,64.0,63.0,69.0,67.0,60.0,73.0,7.0,19.0,3.0,36.0,31.0,33.0,35.0,32.0,21.0,30.0,11.0,3.0,14.0,1.0,23.0,20.0,21.0,22.0,22.0,14.0,18.0,8.0,89.0,100.0,0.0,71.0,,100.0,100.0,,50.0,9.0,3.0,1.0,21.0,,3.0,3.0,,2.0,8.0,3.0,0.0,15.0,,3.0,3.0,,1.0,,,
157662037,Капсиз,soulflayer,33.0,1865.0,0.0,0.0,0.0,33.0,50.0,67.0,60.0,,0.0,,,1.0,1.0,4.0,6.0,2.0,6.0,5.0,,1.0,,,0.0,0.0,0.0,2.0,1.0,4.0,3.0,,0.0,,,0.0,43.0,100.0,38.0,,,,,,4.0,7.0,2.0,8.0,,,,,,0.0,3.0,2.0,3.0,,,,,,100.0,1.0,1.0
97349937,Grendizer,ragnaros,19.0,6045.0,64.0,43.0,54.0,81.0,86.0,83.0,80.0,100.0,33.0,80.0,50.0,11.0,7.0,13.0,58.0,43.0,64.0,41.0,7.0,6.0,5.0,6.0,7.0,3.0,7.0,47.0,37.0,53.0,33.0,7.0,2.0,4.0,3.0,84.0,88.0,30.0,97.0,0.0,100.0,50.0,,100.0,50.0,51.0,10.0,33.0,1.0,1.0,4.0,,4.0,42.0,45.0,3.0,32.0,0.0,1.0,2.0,,4.0,4000.0,1.0,40.0
172362562,Clarimónd,twisting-nether,19.0,391.0,,,,100.0,67.0,,50.0,,67.0,0.0,50.0,,,,1.0,3.0,,2.0,,3.0,1.0,2.0,,,,1.0,2.0,,1.0,,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,3.0,1.0
162416420,Fordriñg,kazzak,23.0,4185.0,0.0,100.0,57.0,33.0,33.0,100.0,100.0,50.0,75.0,33.0,100.0,3.0,1.0,7.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,0.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,,,,33.0,,75.0,83.0,,100.0,,,,3.0,,8.0,6.0,,1.0,,,,1.0,,6.0,5.0,,1.0,,,
174684151,Валестрад,howling-fjord,8.0,1305.0,100.0,100.0,100.0,,,,100.0,0.0,,,,2.0,1.0,1.0,,,,1.0,3.0,,,,2.0,1.0,1.0,,,,1.0,0.0,,,,,,,,,,100.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,
162360973,Kobayashipls,twisting-nether,10.0,896.0,0.0,,,0.0,100.0,100.0,100.0,0.0,50.0,0.0,,2.0,,,1.0,1.0,4.0,1.0,1.0,2.0,2.0,,0.0,,,0.0,1.0,4.0,1.0,0.0,1.0,0.0,,,,,,100.0,,0.0,,,,,,,1.0,,2.0,,,,,,,1.0,,0.0,,,,,
154654822,Èlf,twisting-nether,120.0,12199.0,61.0,40.0,33.0,59.0,40.0,52.0,50.0,33.0,56.0,60.0,0.0,44.0,40.0,12.0,63.0,5.0,62.0,8.0,6.0,9.0,5.0,1.0,27.0,16.0,4.0,37.0,2.0,32.0,4.0,2.0,5.0,3.0,0.0,43.0,50.0,46.0,54.0,,100.0,67.0,,0.0,37.0,48.0,26.0,13.0,,3.0,3.0,,1.0,16.0,24.0,12.0,7.0,,3.0,2.0,,0.0,,,
120178573,Propalli,draenor,7.0,9142.0,57.0,57.0,31.0,67.0,100.0,50.0,100.0,,,,,42.0,46.0,13.0,9.0,1.0,12.0,1.0,,,,,24.0,26.0,4.0,6.0,1.0,6.0,1.0,,,,,56.0,57.0,54.0,100.0,,,,,,34.0,30.0,26.0,1.0,,,,,,19.0,17.0,14.0,1.0,,,,,,,,
194396987,Crael,hyjal,22.0,412.0,,,,100.0,100.0,50.0,100.0,100.0,,50.0,0.0,,,,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,,,,,0.0,,50.0,,,,,,,1.0,,2.0,,,,,,,0.0,,1.0,,,0.0,1.0,0.0
79989501,Эрубис,howling-fjord,23.0,19409.0,52.0,62.0,69.0,61.0,64.0,55.0,77.0,,,,,21.0,34.0,29.0,44.0,14.0,33.0,13.0,,,,,11.0,21.0,20.0,27.0,9.0,18.0,10.0,,,,,56.0,43.0,61.0,50.0,,,,,,61.0,37.0,31.0,2.0,,,,,,34.0,16.0,19.0,1.0,,,,,,,,
154220855,Eliasér,zuljin,51.0,53942.0,53.0,54.0,45.0,57.0,61.0,58.0,42.0,57.0,100.0,67.0,50.0,68.0,122.0,38.0,106.0,49.0,91.0,43.0,7.0,2.0,3.0,4.0,36.0,66.0,17.0,60.0,30.0,53.0,18.0,4.0,2.0,2.0,2.0,64.0,59.0,57.0,39.0,100.0,,75.0,,60.0,223.0,176.0,136.0,28.0,1.0,,4.0,,5.0,143.0,103.0,77.0,11.0,1.0,,3.0,,3.0,7000.0,1.0,70.0
184227887,Glôr,nemesis,13.0,998.0,25.0,,0.0,100.0,,67.0,,0.0,0.0,0.0,0.0,4.0,,2.0,1.0,,3.0,,1.0,1.0,2.0,3.0,1.0,,0.0,1.0,,2.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,,,,,,1.0,,3.0,,,,,,,0.0,,0.0,,,,,
81214680,Blaxxtariam,frostwolf,39.0,32622.0,43.0,56.0,51.0,51.0,48.0,59.0,49.0,79.0,47.0,50.0,,51.0,78.0,72.0,109.0,86.0,121.0,65.0,19.0,15.0,12.0,,22.0,44.0,37.0,56.0,41.0,71.0,32.0,15.0,7.0,6.0,,53.0,55.0,48.0,52.0,,,43.0,,,116.0,84.0,82.0,23.0,,,7.0,,,62.0,46.0,39.0,12.0,,,3.0,,,,,
245287039,Патисоныч,soulflayer,4.0,178.0,,,0.0,,100.0,100.0,,,,0.0,100.0,,,1.0,,1.0,1.0,,,,1.0,1.0,,,0.0,,1.0,1.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164232595,Ineedyoudead,twisting-nether,80.0,7977.0,56.0,57.0,12.0,50.0,37.0,55.0,12.0,46.0,44.0,60.0,78.0,9.0,7.0,8.0,24.0,19.0,22.0,17.0,24.0,18.0,20.0,9.0,5.0,4.0,1.0,12.0,7.0,12.0,2.0,11.0,8.0,12.0,7.0,56.0,33.0,,100.0,50.0,,57.0,100.0,,9.0,3.0,,2.0,2.0,,7.0,1.0,,5.0,1.0,,2.0,1.0,,4.0,1.0,,42.0,12.0,5.0
160597285,Póhma,draenor,18.0,533.0,,,0.0,100.0,100.0,50.0,67.0,,100.0,,,,,1.0,1.0,2.0,2.0,3.0,,1.0,,,,,0.0,1.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162603998,Нарамакиэль,howling-fjord,39.0,13405.0,50.0,62.0,33.0,82.0,49.0,62.0,54.0,50.0,85.0,65.0,67.0,6.0,26.0,6.0,34.0,37.0,34.0,54.0,22.0,26.0,20.0,15.0,3.0,16.0,2.0,28.0,18.0,21.0,29.0,11.0,22.0,13.0,10.0,50.0,62.0,40.0,67.0,0.0,,60.0,100.0,,26.0,13.0,10.0,15.0,1.0,,5.0,4.0,,13.0,8.0,4.0,10.0,0.0,,3.0,4.0,,100.0,3.0,3.0
42015450,Retzrik,kazzak,54.0,37177.0,41.0,49.0,31.0,47.0,68.0,54.0,49.0,76.0,79.0,44.0,50.0,112.0,94.0,32.0,57.0,47.0,54.0,41.0,29.0,149.0,48.0,22.0,46.0,46.0,10.0,27.0,32.0,29.0,20.0,22.0,118.0,21.0,11.0,54.0,56.0,54.0,57.0,75.0,75.0,67.0,100.0,75.0,72.0,55.0,46.0,21.0,4.0,4.0,6.0,33.0,8.0,39.0,31.0,25.0,12.0,3.0,3.0,4.0,33.0,6.0,833.0,3.0,25.0
185742940,Аисандра,soulflayer,38.0,1362.0,0.0,0.0,100.0,100.0,100.0,40.0,0.0,33.0,,100.0,,1.0,1.0,2.0,2.0,3.0,5.0,1.0,3.0,,1.0,,0.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,,1.0,,,,,100.0,,100.0,0.0,,,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,0.0,,,,,
193148121,Aléxr,kazzak,71.0,31170.0,60.0,48.0,63.0,44.0,56.0,67.0,57.0,64.0,100.0,100.0,100.0,78.0,98.0,73.0,34.0,18.0,30.0,28.0,11.0,7.0,1.0,2.0,47.0,47.0,46.0,15.0,10.0,20.0,16.0,7.0,7.0,1.0,2.0,46.0,53.0,43.0,57.0,100.0,,50.0,,,127.0,116.0,100.0,7.0,2.0,,2.0,,,58.0,62.0,43.0,4.0,2.0,,1.0,,,4200.0,1.0,42.0
154538607,Angeloladin,blackrock,137.0,2624.0,67.0,67.0,50.0,83.0,86.0,67.0,33.0,43.0,88.0,100.0,20.0,6.0,3.0,2.0,6.0,7.0,6.0,12.0,7.0,8.0,1.0,5.0,4.0,2.0,1.0,5.0,6.0,4.0,4.0,3.0,7.0,1.0,1.0,,,,,,,100.0,,,,,,,,,3.0,,,,,,,,,3.0,,,,,
195010023,Senta,kazzak,75.0,1104.0,67.0,100.0,100.0,33.0,75.0,100.0,,67.0,33.0,,,3.0,5.0,3.0,3.0,4.0,2.0,,3.0,3.0,,,2.0,5.0,3.0,1.0,3.0,2.0,,2.0,1.0,,,,,,,100.0,,100.0,,,,,,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,
139420938,Vispard,kazzak,38.0,2123.0,100.0,,50.0,0.0,100.0,,,,100.0,0.0,,1.0,,2.0,1.0,1.0,,,,1.0,2.0,,1.0,,1.0,0.0,1.0,,,,1.0,0.0,,67.0,100.0,,,100.0,,50.0,,,3.0,1.0,,,1.0,,2.0,,,2.0,1.0,,,1.0,,1.0,,,100.0,1.0,1.0
118892244,Эзабелла,howling-fjord,65.0,12455.0,62.0,58.0,57.0,67.0,54.0,67.0,59.0,62.0,75.0,50.0,100.0,13.0,12.0,14.0,27.0,26.0,36.0,27.0,26.0,12.0,18.0,6.0,8.0,7.0,8.0,18.0,14.0,24.0,16.0,16.0,9.0,9.0,6.0,60.0,36.0,67.0,62.0,75.0,100.0,60.0,100.0,100.0,20.0,11.0,3.0,13.0,4.0,1.0,10.0,3.0,2.0,12.0,4.0,2.0,8.0,3.0,1.0,6.0,3.0,2.0,,,
136574123,Логинчик,soulflayer,57.0,34246.0,52.0,59.0,35.0,43.0,58.0,55.0,55.0,100.0,62.0,,100.0,25.0,59.0,20.0,61.0,36.0,119.0,51.0,6.0,8.0,,1.0,13.0,35.0,7.0,26.0,21.0,66.0,28.0,6.0,5.0,,1.0,57.0,52.0,63.0,66.0,100.0,0.0,40.0,100.0,83.0,51.0,66.0,46.0,35.0,4.0,1.0,5.0,1.0,6.0,29.0,34.0,29.0,23.0,4.0,0.0,2.0,1.0,5.0,,,
104414483,Kixzo,ragnaros,61.0,11094.0,42.0,37.0,9.0,56.0,47.0,50.0,42.0,600.0,100.0,,,36.0,19.0,11.0,39.0,38.0,30.0,33.0,1.0,2.0,,,15.0,7.0,1.0,22.0,18.0,15.0,14.0,6.0,2.0,,,44.0,51.0,31.0,46.0,,,,,,45.0,43.0,16.0,26.0,,,,,,20.0,22.0,5.0,12.0,,,,,,,,
