character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
164541110,Алекстрэк,gordunni,37.0,21384.0,68.0,54.0,33.0,59.0,41.0,80.0,46.0,42.0,49.0,,46.0,55.0,0.0,44.0,54.0,67.0,17.0,100.0,25.0,22.0,26.0,24.0,34.0,27.0,10.0,39.0,31.0,39.0,,28.0,38.0,1.0,18.0,13.0,3.0,6.0,7.0,4.0,15.0,14.0,8.0,20.0,11.0,8.0,18.0,13.0,19.0,,13.0,21.0,0.0,8.0,7.0,2.0,1.0,7.0,1.0,100.0,1.0,1.0,,,,,,,,,
117908944,Sempay,pozzo-delleternità,51.0,30235.0,61.0,54.0,48.0,58.0,60.0,50.0,48.0,58.0,68.0,,65.0,50.0,,100.0,57.0,50.0,25.0,100.0,50.0,18.0,250.0,77.0,31.0,15.0,6.0,21.0,31.0,19.0,,37.0,24.0,,7.0,14.0,8.0,4.0,1.0,2.0,11.0,136.0,37.0,18.0,9.0,3.0,10.0,18.0,13.0,,24.0,12.0,,7.0,8.0,4.0,1.0,1.0,1.0,50.0,8.0,4.0,,,,,,,,,
185244175,Helliél,pozzo-delleternità,4.0,664.0,,,,100.0,,,43.0,0.0,100.0,,67.0,,,50.0,33.0,0.0,,,0.0,,,,1.0,,,7.0,2.0,1.0,,3.0,,,2.0,3.0,2.0,,,2.0,,,,1.0,,,3.0,0.0,1.0,,2.0,,,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,
140826339,Luthers,pozzo-delleternità,127.0,5901.0,40.0,44.0,60.0,100.0,50.0,61.0,33.0,53.0,62.0,,58.0,88.0,,0.0,100.0,,33.0,,,15.0,9.0,5.0,5.0,4.0,28.0,9.0,15.0,8.0,,19.0,8.0,,3.0,1.0,,6.0,,,6.0,4.0,3.0,5.0,2.0,17.0,3.0,8.0,5.0,,11.0,7.0,,0.0,1.0,,2.0,,,,,,,,,0.0,1.0,0.0,,,
131403913,Weinbaron,malfurion,11.0,3041.0,75.0,,,43.0,,50.0,57.0,33.0,60.0,,44.0,,,40.0,31.0,50.0,,,40.0,4.0,,,7.0,,2.0,14.0,12.0,10.0,,9.0,,,10.0,13.0,2.0,,,10.0,3.0,,,3.0,,1.0,8.0,4.0,6.0,,4.0,,,4.0,4.0,1.0,,,4.0,,,,,,,0.0,2.0,0.0,,,
123922540,Culkin,antonidas,23.0,158.0,,,,,,,,100.0,100.0,,0.0,,,,0.0,,,,,,,,,,,,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,2.0,1.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,
166161372,Lexaniqt,blackmoore,53.0,57718.0,43.0,59.0,55.0,60.0,53.0,43.0,62.0,50.0,65.0,,,40.0,,,,0.0,,,0.0,28.0,90.0,38.0,30.0,45.0,46.0,29.0,6.0,34.0,,,5.0,,,,2.0,,,1.0,12.0,53.0,21.0,18.0,24.0,20.0,18.0,3.0,22.0,,,2.0,,,,0.0,,,0.0,,,,,,,,,,,,
176474438,Vìzzer,burning-legion,55.0,2516.0,0.0,100.0,100.0,33.0,,,43.0,33.0,50.0,,55.0,60.0,100.0,100.0,78.0,57.0,,,62.0,1.0,2.0,1.0,9.0,,,7.0,9.0,10.0,,11.0,5.0,1.0,5.0,9.0,14.0,,,8.0,0.0,2.0,1.0,3.0,,,3.0,3.0,5.0,,6.0,3.0,1.0,5.0,7.0,8.0,,,5.0,,,,,,,,,,,,
113620817,Cykapala,ravencrest,15.0,3411.0,67.0,,,53.0,,67.0,50.0,86.0,100.0,,17.0,100.0,,67.0,25.0,75.0,100.0,,50.0,3.0,,,15.0,,3.0,4.0,7.0,2.0,,6.0,1.0,,3.0,4.0,4.0,2.0,,4.0,2.0,,,8.0,,2.0,2.0,6.0,2.0,,1.0,1.0,,2.0,1.0,3.0,2.0,,2.0,,,,,,,,,,,,
210021985,Goldanna,nagrand,69.0,1492.0,54.0,,,,,60.0,100.0,,,,100.0,100.0,25.0,100.0,0.0,0.0,50.0,,,13.0,,,,,5.0,3.0,,,,1.0,1.0,4.0,1.0,1.0,2.0,4.0,,,7.0,,,,,3.0,3.0,,,,1.0,1.0,1.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,
154551794,Queezlè,antonidas,26.0,71695.0,60.0,62.0,54.0,55.0,48.0,79.0,65.0,69.0,72.0,,66.0,93.0,,,100.0,,,,,113.0,212.0,288.0,130.0,169.0,91.0,99.0,78.0,145.0,,99.0,14.0,,,1.0,,,,,68.0,131.0,156.0,71.0,81.0,72.0,64.0,54.0,104.0,,65.0,13.0,,,1.0,,,,,,,,,,,,,,,,
178445794,Milkow,pozzo-delleternità,48.0,1486.0,,,100.0,,,100.0,,100.0,100.0,,100.0,100.0,,,100.0,100.0,,,,,,1.0,,,1.0,,1.0,2.0,,3.0,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,,1.0,2.0,,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
158069165,Atrexnew,eredar,2.0,14816.0,61.0,67.0,70.0,62.0,76.0,60.0,100.0,0.0,100.0,,50.0,50.0,,,,,,,,41.0,73.0,61.0,34.0,21.0,25.0,6.0,1.0,3.0,,4.0,2.0,,,,,,,,25.0,49.0,43.0,21.0,16.0,15.0,6.0,0.0,3.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,
159396650,Mönkasx,stormscale,26.0,1057.0,0.0,0.0,50.0,100.0,0.0,67.0,50.0,80.0,100.0,,,,,0.0,,33.0,,,0.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,5.0,1.0,,,,,1.0,,3.0,,,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,1.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,,,,
18820223,Лайтмен,azuregos,8.0,9405.0,83.0,40.0,77.0,100.0,0.0,0.0,80.0,75.0,50.0,,50.0,100.0,,,,,0.0,,,6.0,20.0,13.0,1.0,3.0,1.0,5.0,4.0,8.0,,6.0,2.0,,,,,1.0,,,5.0,8.0,10.0,1.0,0.0,0.0,4.0,3.0,4.0,,3.0,2.0,,,,,0.0,,,,,,,,,,,,,,
195031258,Duriandyl,archimonde,5.0,2659.0,50.0,71.0,33.0,50.0,0.0,,67.0,43.0,67.0,,80.0,100.0,,100.0,33.0,,,,0.0,2.0,7.0,3.0,4.0,1.0,,6.0,7.0,3.0,,5.0,2.0,,3.0,3.0,,,,1.0,1.0,5.0,1.0,2.0,0.0,,4.0,3.0,2.0,,4.0,2.0,,3.0,1.0,,,,0.0,,,,,,,,,,,,
143937353,Blumes,argent-dawn,79.0,8686.0,56.0,57.0,37.0,70.0,,88.0,44.0,35.0,54.0,100.0,50.0,43.0,57.0,44.0,74.0,56.0,60.0,100.0,70.0,9.0,14.0,19.0,10.0,,8.0,32.0,31.0,24.0,9.0,32.0,14.0,7.0,36.0,19.0,16.0,5.0,3.0,10.0,5.0,8.0,7.0,7.0,,7.0,14.0,11.0,13.0,9.0,16.0,6.0,4.0,16.0,14.0,9.0,3.0,3.0,7.0,100.0,1.0,1.0,0.0,1.0,0.0,18.0,11.0,2.0,,,
102178351,Zahndoktor,antonidas,18.0,665.0,100.0,,,,,0.0,,,,,100.0,,100.0,100.0,,,50.0,,,2.0,,,,,1.0,,,,,1.0,,2.0,1.0,,,2.0,,,2.0,,,,,0.0,,,,,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,
94673446,Megnar,twisting-nether,176.0,24028.0,24.0,59.0,55.0,57.0,48.0,7.0,54.0,53.0,60.0,81.0,61.0,67.0,33.0,860.0,50.0,50.0,50.0,,43.0,29.0,103.0,64.0,42.0,25.0,14.0,100.0,95.0,97.0,16.0,107.0,45.0,3.0,5.0,4.0,4.0,6.0,,7.0,7.0,61.0,35.0,24.0,12.0,1.0,54.0,50.0,58.0,13.0,65.0,30.0,1.0,43.0,2.0,2.0,3.0,,3.0,,,,,,,,,,,,
154668372,Hatzn,antonidas,26.0,29964.0,58.0,60.0,52.0,56.0,56.0,71.0,44.0,64.0,90.0,,62.0,50.0,,20.0,86.0,100.0,60.0,100.0,100.0,228.0,52.0,77.0,72.0,63.0,58.0,9.0,14.0,10.0,,13.0,8.0,,5.0,7.0,3.0,5.0,1.0,1.0,132.0,31.0,40.0,40.0,35.0,41.0,4.0,9.0,9.0,,8.0,4.0,,1.0,6.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,
140024800,Nordzik,burning-legion,46.0,11490.0,23.0,47.0,55.0,63.0,60.0,0.0,30.0,51.0,54.0,,54.0,70.0,,200.0,33.0,60.0,100.0,100.0,,13.0,38.0,33.0,19.0,5.0,7.0,23.0,37.0,46.0,,61.0,23.0,,10.0,3.0,5.0,2.0,1.0,,3.0,18.0,18.0,12.0,3.0,0.0,7.0,19.0,25.0,,33.0,16.0,,20.0,1.0,3.0,2.0,1.0,,0.0,1.0,0.0,,,,100.0,1.0,1.0,,,
108545590,Hypnøtize,ysondre,16.0,3398.0,50.0,50.0,0.0,50.0,,33.0,50.0,100.0,20.0,,40.0,,71.0,29.0,38.0,33.0,60.0,,75.0,10.0,4.0,1.0,6.0,,3.0,6.0,1.0,5.0,,10.0,,7.0,7.0,8.0,3.0,5.0,,4.0,5.0,2.0,0.0,3.0,,1.0,3.0,1.0,1.0,,4.0,,5.0,2.0,3.0,1.0,3.0,,3.0,,,,,,,,,,,,
101386919,Azadaka,khaz-modan,8.0,2330.0,57.0,29.0,0.0,33.0,50.0,33.0,100.0,0.0,0.0,,50.0,25.0,,100.0,100.0,,0.0,,,7.0,21.0,2.0,3.0,2.0,9.0,1.0,1.0,2.0,,2.0,4.0,,1.0,1.0,,1.0,,,4.0,6.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,,1.0,1.0,,1.0,1.0,,0.0,,,,,,,,,17.0,6.0,1.0,,,
95484374,Dpms,twisting-nether,110.0,92301.0,49.0,57.0,58.0,53.0,52.0,47.0,55.0,70.0,54.0,,60.0,69.0,50.0,80.0,70.0,60.0,100.0,,75.0,134.0,306.0,292.0,281.0,286.0,116.0,225.0,138.0,236.0,,176.0,118.0,4.0,5.0,10.0,5.0,2.0,,8.0,66.0,175.0,168.0,148.0,149.0,55.0,123.0,97.0,128.0,,106.0,81.0,2.0,4.0,7.0,3.0,2.0,,6.0,100.0,1.0,1.0,,,,,,,,,
102480546,Twicks,sargeras,26.0,8708.0,35.0,57.0,50.0,75.0,67.0,27.0,67.0,53.0,75.0,,33.0,50.0,,133.0,100.0,67.0,45.0,,100.0,20.0,14.0,16.0,8.0,3.0,11.0,9.0,15.0,12.0,,15.0,8.0,,3.0,2.0,3.0,11.0,,1.0,7.0,8.0,8.0,6.0,2.0,3.0,6.0,8.0,9.0,,5.0,4.0,,4.0,2.0,2.0,5.0,,1.0,33.0,3.0,1.0,,,,100.0,1.0,1.0,,,
180420766,Тивиар,gordunni,7.0,1640.0,,0.0,,,,,0.0,50.0,33.0,50.0,50.0,,,,0.0,67.0,100.0,,33.0,,1.0,,,,,1.0,2.0,3.0,2.0,2.0,,,,1.0,3.0,1.0,,3.0,,0.0,,,,,0.0,1.0,1.0,1.0,1.0,,,,0.0,2.0,1.0,,1.0,,,,,,,25.0,8.0,2.0,,,
166352463,Tci,stormreaver,6.0,291.0,0.0,,,,,20.0,0.0,25.0,,,50.0,,,,,,,,,4.0,,,,,5.0,1.0,4.0,,,2.0,,,,,,,,,0.0,,,,,1.0,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
174509571,Kethmil,dun-modr,7.0,382.0,33.0,,,0.0,,100.0,,,,,,,,,0.0,,100.0,,,3.0,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,0.0,,1.0,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,
164780799,Scottydín,defias-brotherhood,18.0,7525.0,50.0,56.0,78.0,50.0,33.0,62.0,50.0,75.0,64.0,,67.0,,,33.0,,100.0,,,,52.0,48.0,18.0,16.0,30.0,8.0,16.0,4.0,33.0,,3.0,,,3.0,,2.0,,,,26.0,27.0,14.0,8.0,10.0,5.0,8.0,3.0,21.0,,2.0,,,1.0,,2.0,,,,,,,,,,,,,,,
113387085,Acashic,blackhand,9.0,1896.0,50.0,,33.0,40.0,,,67.0,0.0,50.0,,80.0,0.0,,33.0,0.0,0.0,100.0,,50.0,4.0,,3.0,5.0,,,3.0,1.0,4.0,,5.0,1.0,,3.0,1.0,1.0,1.0,,2.0,2.0,,1.0,2.0,,,2.0,0.0,2.0,,4.0,0.0,,1.0,0.0,0.0,1.0,,1.0,,,,,,,100.0,1.0,1.0,,,
77798216,Piroswag,nemesis,2.0,308.0,0.0,,,,100.0,,100.0,100.0,,,100.0,67.0,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,3.0,,,,,,,,0.0,,,,1.0,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
156657032,Mikesglory,ravencrest,15.0,3359.0,36.0,73.0,55.0,75.0,29.0,14.0,60.0,67.0,40.0,,33.0,,100.0,100.0,0.0,50.0,67.0,,100.0,14.0,15.0,11.0,4.0,7.0,7.0,5.0,3.0,10.0,,3.0,,2.0,3.0,1.0,2.0,3.0,,1.0,5.0,11.0,6.0,3.0,2.0,1.0,3.0,2.0,4.0,,1.0,,2.0,3.0,0.0,1.0,2.0,,1.0,,,,,,,,,,,,
137177891,Heartfilia,norgannon,22.0,3935.0,83.0,,,40.0,,100.0,20.0,43.0,67.0,0.0,71.0,,100.0,71.0,60.0,100.0,50.0,,71.0,12.0,,,5.0,,6.0,5.0,7.0,6.0,1.0,7.0,,6.0,7.0,5.0,1.0,4.0,,7.0,10.0,,,2.0,,6.0,1.0,3.0,4.0,0.0,5.0,,6.0,5.0,3.0,1.0,2.0,,5.0,,,,,,,,,,,,
30076378,Jodilyn,outland,66.0,7840.0,59.0,40.0,56.0,45.0,0.0,82.0,100.0,25.0,67.0,,83.0,50.0,,88.0,33.0,,100.0,,,22.0,10.0,9.0,11.0,2.0,17.0,2.0,4.0,3.0,,6.0,2.0,,8.0,3.0,,1.0,,,13.0,4.0,5.0,5.0,0.0,14.0,2.0,1.0,2.0,,5.0,1.0,,7.0,1.0,,1.0,,,,,,,,,,,,,,
168522770,Bakmachine,ragnaros,4.0,411.0,,,,,,,,,0.0,,100.0,0.0,,,,,100.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,0.0,,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,
166631802,Darkghost,hyjal,51.0,9511.0,29.0,44.0,71.0,27.0,,57.0,25.0,29.0,64.0,,50.0,30.0,,50.0,60.0,50.0,0.0,,,7.0,18.0,7.0,11.0,,7.0,12.0,7.0,11.0,,14.0,10.0,,10.0,5.0,2.0,2.0,,,2.0,8.0,5.0,3.0,,4.0,3.0,2.0,7.0,,7.0,3.0,,5.0,3.0,1.0,0.0,,,,,,,,,0.0,3.0,0.0,,,
197580854,Ørjän,silvermoon,12.0,3584.0,100.0,,,33.0,,50.0,67.0,50.0,75.0,100.0,67.0,,100.0,36.0,55.0,75.0,75.0,,54.0,1.0,,,3.0,,4.0,15.0,4.0,4.0,2.0,12.0,,1.0,11.0,11.0,8.0,4.0,,13.0,1.0,,,1.0,,2.0,10.0,2.0,3.0,2.0,8.0,,1.0,4.0,6.0,6.0,3.0,,7.0,,,,,,,,,,,,
166428284,Taji,hyjal,5.0,519.0,,,,,,,,,100.0,,,,,50.0,,0.0,,,,,,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,0.0,,,,,,,,,,,,,,,
175091275,Läthgërtha,dun-modr,44.0,3760.0,0.0,,,50.0,,40.0,62.0,80.0,58.0,56.0,40.0,,0.0,62.0,59.0,43.0,33.0,,67.0,2.0,,,4.0,,5.0,16.0,10.0,19.0,9.0,10.0,,2.0,16.0,17.0,14.0,3.0,,27.0,0.0,,,2.0,,2.0,10.0,8.0,11.0,5.0,4.0,,0.0,10.0,10.0,6.0,1.0,,18.0,,,,0.0,1.0,0.0,,,,,,
168998405,Sarthigas,dalaran,23.0,7694.0,55.0,,,57.0,,81.0,60.0,47.0,70.0,,43.0,,67.0,88.0,64.0,62.0,56.0,,57.0,33.0,,,7.0,,27.0,10.0,15.0,10.0,,7.0,,6.0,8.0,11.0,13.0,18.0,,7.0,18.0,,,4.0,,22.0,6.0,7.0,7.0,,3.0,,4.0,7.0,7.0,8.0,10.0,,4.0,,,,,,,,,,,,
160811800,Plipoudou,throkferoth,1.0,31.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,
179845298,Sejn,silvermoon,9.0,2218.0,,,,33.0,,0.0,100.0,50.0,100.0,,50.0,,100.0,75.0,50.0,60.0,100.0,,,,,,3.0,,1.0,2.0,4.0,6.0,,4.0,,1.0,4.0,6.0,5.0,1.0,,,,,,1.0,,0.0,2.0,2.0,6.0,,2.0,,1.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,
185122145,Кромвар,gordunni,79.0,11551.0,50.0,29.0,33.0,77.0,80.0,50.0,57.0,72.0,42.0,,56.0,83.0,100.0,55.0,53.0,71.0,0.0,,100.0,10.0,7.0,6.0,13.0,5.0,6.0,21.0,18.0,24.0,,16.0,6.0,2.0,11.0,15.0,7.0,3.0,,5.0,5.0,2.0,2.0,10.0,4.0,3.0,12.0,13.0,10.0,,9.0,5.0,2.0,6.0,8.0,5.0,0.0,,5.0,,,,,,,,,,,,
96766899,Niowee,ragnaros,43.0,31224.0,49.0,57.0,59.0,55.0,51.0,57.0,58.0,,71.0,,0.0,100.0,,50.0,33.0,20.0,,,,101.0,93.0,113.0,87.0,63.0,46.0,50.0,,76.0,,1.0,2.0,,4.0,3.0,5.0,,,,49.0,53.0,67.0,48.0,32.0,26.0,29.0,,54.0,,0.0,2.0,,2.0,1.0,1.0,,,,,,,,,,40.0,5.0,2.0,,,
29023071,Dankai,zuljin,14.0,8147.0,43.0,62.0,68.0,50.0,70.0,67.0,33.0,100.0,100.0,,100.0,,50.0,0.0,100.0,0.0,,,,28.0,37.0,25.0,18.0,23.0,6.0,3.0,1.0,1.0,,2.0,,4.0,1.0,1.0,1.0,,,,12.0,23.0,17.0,9.0,16.0,4.0,1.0,1.0,1.0,,2.0,,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
187835499,Асогири,gordunni,74.0,1126.0,,,,,,100.0,0.0,,,,,,0.0,,,,100.0,,,,,,,,3.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,3.0,0.0,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,
118609313,Wipepower,ravencrest,26.0,2890.0,78.0,,,100.0,,17.0,50.0,100.0,100.0,100.0,100.0,,0.0,86.0,33.0,75.0,33.0,,0.0,9.0,,,4.0,,6.0,2.0,1.0,1.0,1.0,2.0,,1.0,7.0,3.0,4.0,6.0,,1.0,7.0,,,4.0,,1.0,1.0,1.0,1.0,1.0,2.0,,0.0,6.0,1.0,3.0,2.0,,0.0,,,,,,,0.0,1.0,0.0,,,
170229125,Элитныи,gordunni,51.0,24170.0,49.0,62.0,54.0,60.0,58.0,40.0,56.0,59.0,70.0,,79.0,76.0,,100.0,0.0,,,,,39.0,110.0,79.0,52.0,53.0,30.0,70.0,27.0,91.0,,24.0,21.0,,1.0,2.0,,,,,19.0,68.0,43.0,31.0,31.0,12.0,39.0,16.0,64.0,,19.0,16.0,,1.0,0.0,,,,,,,,,,,,,,,,
76528323,Неош,ashenvale,5.0,3253.0,100.0,69.0,71.0,57.0,75.0,0.0,100.0,,57.0,,,,,,,,,,,3.0,13.0,7.0,7.0,4.0,1.0,2.0,,7.0,,,,,,,,,,,3.0,9.0,5.0,4.0,3.0,0.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
166410406,Vyndra,aggra-português,48.0,2177.0,,,,0.0,,,33.0,67.0,67.0,100.0,67.0,,,33.0,33.0,40.0,,100.0,100.0,,,,2.0,,,3.0,9.0,3.0,2.0,3.0,,,3.0,3.0,5.0,,3.0,2.0,,,,0.0,,,1.0,6.0,2.0,2.0,2.0,,,1.0,1.0,2.0,,3.0,2.0,,,,,,,100.0,6.0,6.0,,,
176648432,Pavema,neptulon,10.0,1881.0,50.0,,,,,100.0,57.0,33.0,55.0,67.0,67.0,,0.0,33.0,22.0,70.0,0.0,,100.0,4.0,,,,,2.0,7.0,6.0,11.0,3.0,6.0,,2.0,6.0,9.0,10.0,4.0,,3.0,2.0,,,,,2.0,4.0,2.0,6.0,2.0,4.0,,0.0,2.0,2.0,7.0,0.0,,3.0,,,,,,,,,,,,
156747308,Vaalthier,zuljin,13.0,3869.0,50.0,0.0,100.0,25.0,,44.0,67.0,100.0,75.0,,100.0,,,75.0,67.0,75.0,50.0,,75.0,6.0,1.0,1.0,4.0,,9.0,3.0,5.0,4.0,,3.0,,,4.0,3.0,4.0,6.0,,4.0,3.0,0.0,1.0,1.0,,4.0,2.0,5.0,3.0,,3.0,,,3.0,2.0,3.0,3.0,,3.0,,,,,,,,,,,,
69764442,Norrath,thrall,18.0,6551.0,26.0,52.0,48.0,33.0,27.0,36.0,56.0,77.0,54.0,,62.0,100.0,0.0,,50.0,0.0,100.0,,100.0,27.0,27.0,21.0,12.0,11.0,14.0,9.0,13.0,13.0,,8.0,6.0,2.0,,2.0,1.0,3.0,,1.0,7.0,14.0,10.0,4.0,3.0,5.0,5.0,10.0,7.0,,5.0,6.0,0.0,,1.0,0.0,3.0,,1.0,40.0,5.0,2.0,,,,,,,,,
127645662,Krionte,nemesis,18.0,14735.0,41.0,53.0,54.0,56.0,46.0,46.0,50.0,60.0,80.0,400.0,50.0,56.0,100.0,17.0,,0.0,,,0.0,70.0,43.0,39.0,18.0,13.0,13.0,8.0,10.0,5.0,2.0,14.0,9.0,1.0,6.0,,2.0,,,1.0,29.0,23.0,21.0,10.0,6.0,6.0,4.0,6.0,4.0,8.0,7.0,5.0,1.0,1.0,,0.0,,,0.0,,,,,,,71.0,7.0,5.0,,,
183655458,Peraz,pozzo-delleternità,9.0,1762.0,100.0,,,67.0,,,50.0,80.0,50.0,,50.0,,100.0,67.0,0.0,,50.0,,40.0,1.0,,,6.0,,,2.0,5.0,2.0,,4.0,,1.0,3.0,2.0,,4.0,,5.0,1.0,,,4.0,,,1.0,4.0,1.0,,2.0,,1.0,2.0,0.0,,2.0,,2.0,,,,,,,,,,,,
158921316,Abrahamlcn,draenor,5.0,1417.0,50.0,,,50.0,,33.0,,100.0,,,67.0,,,50.0,50.0,67.0,100.0,,50.0,2.0,,,6.0,,3.0,,3.0,,,3.0,,,4.0,2.0,3.0,1.0,,2.0,1.0,,,3.0,,1.0,,3.0,,,2.0,,,2.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,
163389825,Tyrallian,draenor,4.0,816.0,0.0,,,,,100.0,,,100.0,,100.0,,,,100.0,33.0,,,50.0,2.0,,,,,1.0,,,1.0,,1.0,,,,1.0,3.0,,,2.0,0.0,,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,
161484022,Kurczaka,azshara,6.0,19177.0,82.0,64.0,50.0,73.0,57.0,38.0,40.0,50.0,,,,,50.0,0.0,,,20.0,,,17.0,11.0,14.0,15.0,14.0,8.0,5.0,2.0,,,,,4.0,1.0,,,5.0,,,14.0,7.0,7.0,11.0,8.0,3.0,2.0,1.0,,,,,2.0,0.0,,,1.0,,,,,,,,,,,,,,
158681170,Vogran,pozzo-delleternità,58.0,6002.0,30.0,67.0,38.0,44.0,,33.0,50.0,56.0,57.0,0.0,56.0,43.0,,78.0,50.0,57.0,50.0,100.0,67.0,10.0,9.0,8.0,9.0,,6.0,2.0,9.0,7.0,1.0,16.0,7.0,,9.0,4.0,7.0,4.0,2.0,3.0,3.0,6.0,3.0,4.0,,2.0,1.0,5.0,4.0,0.0,9.0,3.0,,7.0,2.0,4.0,2.0,2.0,2.0,,,,,,,100.0,1.0,1.0,,,
163602366,Deleron,tarren-mill,3.0,151.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,
140892084,Krisis,dun-modr,17.0,2880.0,33.0,0.0,,33.0,,75.0,50.0,29.0,40.0,,50.0,0.0,100.0,20.0,50.0,75.0,75.0,100.0,100.0,6.0,2.0,,3.0,,4.0,2.0,7.0,5.0,,4.0,3.0,3.0,5.0,6.0,4.0,4.0,8.0,1.0,2.0,0.0,,1.0,,3.0,1.0,2.0,2.0,,2.0,0.0,3.0,1.0,3.0,3.0,3.0,8.0,1.0,100.0,1.0,1.0,,,,,,,,,
95604726,Cránkill,dethecus,15.0,619.0,,,,,,,100.0,50.0,50.0,,75.0,,,,100.0,100.0,,,75.0,,,,,,,1.0,2.0,2.0,,4.0,,,,1.0,2.0,,,4.0,,,,,,,1.0,1.0,1.0,,3.0,,,,1.0,2.0,,,3.0,,,,,,,,,,,,
163914430,Uglyduckling,tarren-mill,44.0,1660.0,60.0,,,67.0,,100.0,33.0,33.0,100.0,,100.0,,75.0,100.0,25.0,33.0,100.0,,0.0,10.0,,,3.0,,2.0,3.0,3.0,2.0,,1.0,,4.0,2.0,4.0,3.0,1.0,,2.0,6.0,,,2.0,,2.0,1.0,1.0,2.0,,1.0,,3.0,2.0,1.0,1.0,1.0,,0.0,,,,,,,,,,,,
183784783,Baelicious,silvermoon,18.0,15662.0,48.0,41.0,48.0,38.0,29.0,60.0,28.0,47.0,58.0,0.0,50.0,47.0,,62.0,0.0,50.0,0.0,,33.0,25.0,34.0,29.0,34.0,14.0,10.0,25.0,36.0,26.0,1.0,30.0,221.0,,8.0,3.0,2.0,2.0,,3.0,12.0,14.0,14.0,13.0,4.0,6.0,7.0,17.0,15.0,0.0,15.0,104.0,,5.0,0.0,1.0,0.0,,1.0,,,,,,,67.0,3.0,2.0,,,
