character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Comp Stomp win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Comp Stomp played,Rated Eye of the Storm won,Ashran won,Arathi Basin Comp Stomp won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won
100462881,Gibari,eredar,239.0,46857.0,72.0,71.0,68.0,68.0,60.0,66.0,65.0,49.0,74.0,79.0,56.0,43.0,42.0,38.0,50.0,20.0,41.0,37.0,35.0,46.0,43.0,9.0,31.0,30.0,26.0,34.0,12.0,27.0,24.0,17.0,34.0,34.0,5.0,75.0,50.0,38.0,67.0,56.0,12.0,6.0,8.0,9.0,9.0,9.0,3.0,3.0,6.0,5.0,1650.0,80.0,100.0,2.0,5.0,44.0,33.0,4.0,44.0,,,,,,
160612866,Awesomedin,draenor,43.0,39081.0,37.0,58.0,76.0,66.0,70.0,62.0,71.0,54.0,73.0,62.0,61.0,41.0,101.0,91.0,74.0,46.0,39.0,70.0,37.0,79.0,24.0,28.0,15.0,59.0,69.0,49.0,32.0,24.0,50.0,20.0,58.0,15.0,17.0,150.0,50.0,67.0,80.0,100.0,4.0,4.0,6.0,5.0,1.0,6.0,2.0,4.0,4.0,1.0,,,,,,,,,,,,,,,
167543148,Caersei,blackrock,11.0,364.0,100.0,,,,,,100.0,0.0,0.0,100.0,,1.0,,,,,,1.0,1.0,2.0,1.0,,1.0,,,,,,1.0,0.0,0.0,1.0,,,,,100.0,,,,,1.0,,,,,1.0,,,100.0,,,1.0,,,1.0,,,,,,,
100414051,Ötztwo,ysondre,16.0,17821.0,55.0,53.0,51.0,42.0,47.0,66.0,67.0,,82.0,0.0,,22.0,70.0,49.0,38.0,34.0,29.0,15.0,,22.0,1.0,,12.0,37.0,25.0,16.0,16.0,19.0,10.0,,18.0,0.0,,,,,0.0,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,
50357558,Molteis,ysondre,44.0,9704.0,32.0,61.0,65.0,45.0,57.0,47.0,56.0,79.0,53.0,60.0,50.0,19.0,23.0,23.0,22.0,28.0,19.0,25.0,29.0,30.0,10.0,8.0,6.0,14.0,15.0,10.0,16.0,9.0,14.0,23.0,16.0,6.0,4.0,0.0,,0.0,100.0,75.0,1.0,,2.0,1.0,4.0,0.0,,0.0,1.0,3.0,900.0,0.0,,1.0,1.0,,9.0,0.0,,,,,,,
141110036,Holyhatina,twisting-nether,16.0,124.0,,,,,,,100.0,0.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80806240,Irônbreaker,frostwolf,17.0,9735.0,38.0,49.0,69.0,53.0,65.0,32.0,78.0,54.0,45.0,50.0,57.0,24.0,35.0,39.0,17.0,20.0,37.0,18.0,24.0,20.0,22.0,14.0,9.0,17.0,27.0,9.0,13.0,12.0,14.0,13.0,9.0,11.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155664226,Nenia,ysondre,12.0,307.0,,,,0.0,,,,,100.0,,,,,,1.0,,,,,2.0,,,,,,0.0,,,,,2.0,,,0.0,0.0,100.0,,,1.0,2.0,1.0,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
138465092,Misstag,twisting-nether,25.0,2101.0,33.0,,100.0,50.0,,0.0,83.0,60.0,50.0,67.0,,3.0,,1.0,2.0,,1.0,6.0,5.0,6.0,12.0,,1.0,,1.0,1.0,,0.0,5.0,3.0,3.0,8.0,,43.0,71.0,67.0,,43.0,7.0,7.0,3.0,,7.0,3.0,5.0,2.0,,3.0,25.0,100.0,,4.0,3.0,,1.0,3.0,,,,,,,
97349937,Grendizer,ragnaros,19.0,6045.0,64.0,84.0,88.0,43.0,30.0,54.0,81.0,86.0,83.0,80.0,97.0,11.0,50.0,51.0,7.0,10.0,13.0,58.0,43.0,64.0,41.0,33.0,7.0,42.0,45.0,3.0,3.0,7.0,47.0,37.0,53.0,33.0,32.0,100.0,33.0,80.0,50.0,50.0,7.0,6.0,5.0,4.0,6.0,7.0,2.0,4.0,2.0,3.0,4000.0,0.0,,1.0,1.0,,40.0,0.0,,100.0,4.0,4.0,100.0,1.0,1.0
183958955,Lmaowtf,kazzak,15.0,429.0,,,,0.0,,,,,67.0,0.0,,,,,1.0,,,,,3.0,1.0,,,,,0.0,,,,,2.0,0.0,,33.0,60.0,67.0,,100.0,3.0,5.0,3.0,,2.0,1.0,3.0,2.0,,2.0,50.0,,,2.0,,,1.0,,,,,,,,
145191273,Парломис,howling-fjord,26.0,6164.0,100.0,67.0,50.0,100.0,,67.0,88.0,69.0,100.0,67.0,50.0,2.0,3.0,4.0,2.0,,3.0,8.0,13.0,5.0,12.0,2.0,2.0,2.0,2.0,2.0,,2.0,7.0,9.0,5.0,8.0,1.0,67.0,50.0,0.0,50.0,67.0,9.0,2.0,2.0,2.0,3.0,6.0,1.0,0.0,1.0,2.0,,50.0,,,2.0,,,1.0,,,,,,,
125179086,Anietyx,blackrock,12.0,3521.0,90.0,100.0,50.0,67.0,100.0,86.0,50.0,44.0,50.0,60.0,100.0,10.0,4.0,4.0,3.0,2.0,7.0,4.0,9.0,2.0,5.0,1.0,9.0,4.0,2.0,2.0,2.0,6.0,2.0,4.0,1.0,3.0,1.0,200.0,33.0,50.0,20.0,50.0,2.0,3.0,2.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,,60.0,,,5.0,,,3.0,,,,,,,
195177961,Anthonel,nemesis,65.0,41330.0,42.0,50.0,53.0,60.0,58.0,36.0,57.0,65.0,59.0,54.0,50.0,91.0,44.0,30.0,63.0,24.0,87.0,46.0,46.0,34.0,52.0,34.0,38.0,22.0,16.0,38.0,14.0,31.0,26.0,30.0,20.0,28.0,17.0,60.0,67.0,75.0,74.0,50.0,25.0,39.0,20.0,27.0,6.0,15.0,26.0,15.0,20.0,3.0,,100.0,100.0,,2.0,18.0,,2.0,18.0,75.0,4.0,3.0,60.0,15.0,9.0
168959257,Bultsax,tarren-mill,3.0,249.0,,0.0,,,,,,0.0,,,50.0,,1.0,,,,,,1.0,,,2.0,,0.0,,,,,,0.0,,,1.0,,,50.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,
148090504,Saruseq,burning-legion,14.0,5991.0,50.0,29.0,40.0,50.0,100.0,67.0,29.0,38.0,25.0,33.0,33.0,2.0,17.0,5.0,6.0,1.0,3.0,14.0,16.0,16.0,15.0,3.0,1.0,5.0,2.0,3.0,1.0,2.0,4.0,6.0,4.0,5.0,1.0,36.0,30.0,56.0,100.0,71.0,14.0,10.0,9.0,1.0,7.0,5.0,3.0,5.0,1.0,5.0,,100.0,,,1.0,,,1.0,,,,,100.0,1.0,1.0
172804819,Khoria,twisting-nether,63.0,1073.0,,0.0,100.0,100.0,100.0,0.0,67.0,50.0,50.0,,100.0,,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,,1.0,,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175255710,Ferethor,darksorrow,6.0,233.0,,,,,,,100.0,,100.0,,,,,,,,,1.0,,2.0,,,,,,,,,1.0,,2.0,,,,100.0,,,,,1.0,,,,,1.0,,,,100.0,,,1.0,,,1.0,,,,,,,,
89592022,Kisassi,sargeras,49.0,4025.0,0.0,52.0,57.0,53.0,80.0,,50.0,,100.0,50.0,,1.0,21.0,14.0,19.0,10.0,,4.0,,2.0,2.0,,0.0,11.0,8.0,10.0,8.0,,2.0,,2.0,1.0,,0.0,0.0,,100.0,,2.0,1.0,,1.0,,0.0,0.0,,1.0,,,,,,,,,,,,,,,,
88842309,Icra,eredar,11.0,1906.0,,33.0,67.0,40.0,80.0,0.0,75.0,67.0,40.0,40.0,100.0,,3.0,3.0,5.0,5.0,1.0,4.0,3.0,5.0,5.0,2.0,,1.0,2.0,2.0,4.0,0.0,3.0,2.0,2.0,2.0,2.0,50.0,100.0,50.0,,50.0,2.0,3.0,2.0,,2.0,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,
188436851,Vynrael,kazzak,129.0,32640.0,50.0,65.0,67.0,65.0,59.0,50.0,58.0,65.0,52.0,55.0,60.0,8.0,77.0,88.0,78.0,37.0,14.0,98.0,88.0,90.0,98.0,73.0,4.0,50.0,59.0,51.0,22.0,7.0,57.0,57.0,47.0,54.0,44.0,112.0,57.0,60.0,100.0,40.0,8.0,7.0,5.0,1.0,5.0,9.0,4.0,3.0,1.0,2.0,1800.0,,100.0,1.0,,5.0,18.0,,5.0,,,,100.0,1.0,1.0
128060902,Wyleria,burning-blade,14.0,1114.0,50.0,100.0,0.0,,,0.0,75.0,50.0,,75.0,100.0,2.0,1.0,1.0,,,1.0,4.0,2.0,,4.0,1.0,1.0,1.0,0.0,,,0.0,3.0,1.0,,3.0,1.0,100.0,50.0,100.0,,100.0,3.0,2.0,1.0,,1.0,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
163236504,Mégegymogyí,ragnaros,37.0,1705.0,0.0,,,0.0,,,100.0,33.0,50.0,67.0,,1.0,,,2.0,,,4.0,12.0,10.0,3.0,,0.0,,,0.0,,,4.0,4.0,5.0,2.0,,100.0,0.0,100.0,0.0,62.0,2.0,2.0,2.0,1.0,13.0,2.0,0.0,2.0,0.0,8.0,0.0,,,3.0,,,0.0,,,,,,,,
110625023,Palidinøs,ysondre,12.0,1145.0,50.0,50.0,0.0,0.0,0.0,67.0,100.0,40.0,100.0,67.0,50.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,5.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154220855,Eliasér,zuljin,51.0,53942.0,53.0,64.0,59.0,54.0,57.0,45.0,57.0,61.0,58.0,42.0,39.0,68.0,223.0,176.0,122.0,136.0,38.0,106.0,49.0,91.0,43.0,28.0,36.0,143.0,103.0,66.0,77.0,17.0,60.0,30.0,53.0,18.0,11.0,57.0,100.0,67.0,75.0,50.0,7.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,7000.0,100.0,,1.0,1.0,,70.0,1.0,,60.0,5.0,3.0,,,
76947846,Kynval,nemesis,10.0,7648.0,40.0,67.0,43.0,45.0,45.0,33.0,59.0,46.0,39.0,27.0,,20.0,33.0,21.0,22.0,20.0,12.0,22.0,13.0,18.0,11.0,,8.0,22.0,9.0,10.0,9.0,4.0,13.0,6.0,7.0,3.0,,100.0,100.0,0.0,,,1.0,1.0,1.0,,,1.0,1.0,0.0,,,,,,,,,,,,0.0,2.0,0.0,,,
