character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Ashran played,Seething Shore played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Ashran won,Seething Shore won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Warsong Gulch played,Arathi Basin played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Warsong Gulch won,Arathi Basin won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
170717326,Нортрет,gordunni,93.0,10046.0,67.0,0.0,73.0,,233.0,75.0,6.0,1.0,113.0,,3.0,4.0,4.0,0.0,83.0,,7.0,3.0,25.0,100.0,67.0,,100.0,40.0,50.0,,67.0,67.0,100.0,0.0,100.0,,67.0,8.0,1.0,3.0,,6.0,5.0,6.0,,3.0,3.0,3.0,1.0,6.0,,3.0,2.0,1.0,2.0,,6.0,2.0,3.0,,2.0,2.0,3.0,0.0,6.0,,2.0,0.0,1.0,0.0,,,
175698226,Kyndmryn,nemesis,13.0,4730.0,100.0,,60.0,,67.0,,3.0,,5.0,,3.0,,3.0,,3.0,,2.0,,,,75.0,,50.0,62.0,50.0,0.0,50.0,67.0,67.0,86.0,,25.0,56.0,,,8.0,,6.0,8.0,4.0,1.0,4.0,3.0,12.0,7.0,,8.0,9.0,,,6.0,,3.0,5.0,2.0,0.0,2.0,2.0,8.0,6.0,,2.0,5.0,,,,,,
69764442,Norrath,thrall,18.0,6551.0,26.0,36.0,62.0,0.0,,100.0,27.0,14.0,8.0,2.0,,3.0,7.0,5.0,5.0,0.0,,3.0,52.0,48.0,33.0,27.0,56.0,77.0,54.0,,100.0,40.0,50.0,0.0,,,100.0,27.0,21.0,12.0,11.0,9.0,13.0,13.0,,6.0,5.0,2.0,1.0,,,1.0,14.0,10.0,4.0,3.0,5.0,10.0,7.0,,6.0,2.0,1.0,0.0,,,1.0,,,,,,
195728591,Solotyr,hyjal,41.0,7870.0,88.0,17.0,50.0,50.0,,40.0,8.0,6.0,2.0,2.0,,5.0,7.0,1.0,1.0,1.0,,2.0,80.0,71.0,36.0,33.0,50.0,50.0,50.0,,25.0,,,,,,,10.0,7.0,11.0,9.0,12.0,6.0,8.0,,4.0,,,,,,,8.0,5.0,4.0,3.0,6.0,3.0,4.0,,1.0,,,,,,,,,,,,
76407946,Аразаил,goldrinn,54.0,58236.0,72.0,70.0,66.0,50.0,56.0,54.0,83.0,70.0,56.0,10.0,9.0,13.0,60.0,49.0,37.0,5.0,5.0,7.0,57.0,62.0,62.0,62.0,67.0,47.0,66.0,400.0,75.0,,55.0,67.0,100.0,100.0,44.0,184.0,82.0,76.0,61.0,139.0,57.0,148.0,1.0,4.0,,11.0,3.0,1.0,2.0,9.0,104.0,51.0,47.0,38.0,93.0,27.0,97.0,4.0,3.0,,6.0,2.0,1.0,2.0,4.0,,,,,,
55807187,Soon,grim-batol,83.0,64957.0,54.0,51.0,68.0,20.0,68.0,56.0,169.0,128.0,50.0,5.0,41.0,16.0,91.0,65.0,34.0,1.0,28.0,9.0,56.0,53.0,59.0,48.0,64.0,45.0,71.0,,100.0,,57.0,82.0,100.0,0.0,71.0,168.0,175.0,153.0,114.0,55.0,44.0,87.0,,3.0,,47.0,44.0,28.0,5.0,42.0,94.0,93.0,91.0,55.0,35.0,20.0,62.0,,3.0,,27.0,36.0,28.0,0.0,30.0,,,,,,
178142124,Десперайт,gordunni,39.0,808.0,,100.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,
156893097,Dawnbringer,archimonde,12.0,1099.0,100.0,33.0,100.0,,100.0,0.0,1.0,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,,2.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
144130261,Postedeguill,dalaran,37.0,12301.0,62.0,57.0,56.0,0.0,100.0,60.0,24.0,7.0,9.0,2.0,10.0,5.0,15.0,4.0,5.0,0.0,10.0,3.0,50.0,46.0,59.0,67.0,27.0,50.0,53.0,,60.0,0.0,29.0,100.0,100.0,,,40.0,26.0,27.0,12.0,11.0,16.0,15.0,,5.0,3.0,7.0,1.0,2.0,,,20.0,12.0,16.0,8.0,3.0,8.0,8.0,,3.0,0.0,2.0,1.0,2.0,,,,,,,,
181677258,Саффирин,gordunni,14.0,1222.0,100.0,,50.0,,,,1.0,,2.0,,,,1.0,,1.0,,,,50.0,67.0,50.0,50.0,0.0,40.0,,,100.0,,,,,,,6.0,3.0,2.0,4.0,3.0,5.0,,,1.0,,,,,,,3.0,2.0,1.0,2.0,0.0,2.0,,,1.0,,,,,,,,,,,,
133368774,Qunaii,defias-brotherhood,29.0,1882.0,50.0,25.0,,,0.0,,6.0,4.0,,,1.0,,3.0,1.0,,,0.0,,,,80.0,,100.0,0.0,25.0,50.0,,0.0,50.0,50.0,,0.0,60.0,,,5.0,,1.0,1.0,4.0,2.0,,1.0,4.0,2.0,,6.0,5.0,,,4.0,,1.0,0.0,1.0,1.0,,0.0,2.0,1.0,,0.0,3.0,,,,,,
177514687,Grunnbeld,dalaran,9.0,2278.0,,,42.0,,56.0,,,,19.0,,9.0,,,,8.0,,5.0,,,,100.0,,46.0,69.0,44.0,71.0,,,60.0,44.0,,0.0,38.0,,,1.0,,13.0,13.0,9.0,7.0,,,5.0,9.0,,1.0,8.0,,,1.0,,6.0,9.0,4.0,5.0,,,3.0,4.0,,0.0,3.0,,,,,,
162999798,Iladonf,dalaran,16.0,161.0,,50.0,,,,,,2.0,,,,,,1.0,,,,,,,,,100.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
141643481,Ledroth,dun-modr,10.0,2346.0,,,33.0,0.0,,0.0,,,3.0,1.0,,1.0,,,1.0,0.0,,0.0,100.0,,67.0,100.0,80.0,0.0,67.0,,100.0,,0.0,67.0,,,50.0,1.0,,3.0,1.0,5.0,1.0,3.0,,1.0,,1.0,3.0,,,4.0,1.0,,2.0,1.0,4.0,0.0,2.0,,1.0,,0.0,2.0,,,2.0,,,,,,
195412397,Aurya,silvermoon,10.0,371.0,50.0,,,100.0,,,2.0,,,1.0,,,1.0,,,1.0,,,,,50.0,,,,0.0,,,,0.0,0.0,,,100.0,,,2.0,,,,1.0,,,,2.0,1.0,,,2.0,,,1.0,,,,0.0,,,,0.0,0.0,,,2.0,,,,,,
195031258,Duriandyl,archimonde,5.0,2659.0,50.0,,80.0,,100.0,,2.0,,5.0,,3.0,,1.0,,4.0,,3.0,,71.0,33.0,50.0,0.0,67.0,43.0,67.0,,100.0,,33.0,,,,0.0,7.0,3.0,4.0,1.0,6.0,7.0,3.0,,2.0,,3.0,,,,1.0,5.0,1.0,2.0,0.0,4.0,3.0,2.0,,2.0,,1.0,,,,0.0,,,,,,
192656603,Пчелобав,gordunni,48.0,1256.0,50.0,100.0,60.0,50.0,,33.0,2.0,2.0,5.0,2.0,,3.0,1.0,2.0,3.0,1.0,,1.0,,,50.0,,100.0,50.0,,,,50.0,100.0,100.0,,,,,,2.0,,1.0,2.0,,,,2.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,
153806585,Мст,gordunni,20.0,2581.0,50.0,50.0,75.0,0.0,40.0,100.0,4.0,4.0,8.0,1.0,10.0,3.0,2.0,2.0,6.0,0.0,4.0,3.0,,,29.0,,33.0,46.0,69.0,80.0,67.0,100.0,75.0,33.0,100.0,0.0,50.0,,,7.0,,6.0,13.0,13.0,5.0,3.0,2.0,8.0,6.0,4.0,2.0,6.0,,,2.0,,2.0,6.0,9.0,4.0,2.0,2.0,6.0,2.0,4.0,0.0,3.0,,,,,,
23341092,Elkon,scarshield-legion,23.0,7976.0,,,80.0,0.0,75.0,0.0,,,5.0,1.0,4.0,1.0,,,4.0,0.0,3.0,0.0,75.0,50.0,43.0,,50.0,33.0,100.0,,,,100.0,67.0,,,0.0,12.0,2.0,7.0,,4.0,3.0,3.0,,,,2.0,3.0,,,1.0,9.0,1.0,3.0,,2.0,1.0,3.0,,,,2.0,2.0,,,0.0,,,,,,
247688319,Doomalke,hellfire,30.0,1526.0,50.0,50.0,67.0,33.0,,100.0,2.0,2.0,3.0,3.0,,2.0,1.0,1.0,2.0,1.0,,2.0,,,100.0,,,100.0,,,,,67.0,100.0,,,100.0,,,1.0,,,1.0,,,,,3.0,2.0,,,5.0,,,1.0,,,1.0,,,,,2.0,2.0,,,5.0,,,,,,
173135774,Koulourls,silvermoon,20.0,3131.0,0.0,100.0,50.0,0.0,46.0,,2.0,1.0,6.0,1.0,13.0,,0.0,1.0,3.0,0.0,6.0,,,,56.0,,100.0,40.0,80.0,100.0,,,57.0,75.0,,,60.0,,,9.0,,5.0,5.0,5.0,2.0,,,7.0,4.0,,,5.0,,,5.0,,5.0,2.0,4.0,2.0,,,4.0,3.0,,,3.0,,,,,,
126725985,Borimir,agamaggan,41.0,1771.0,40.0,100.0,50.0,,0.0,50.0,5.0,4.0,2.0,,2.0,2.0,2.0,4.0,1.0,,0.0,1.0,100.0,0.0,0.0,0.0,40.0,50.0,0.0,,100.0,,,0.0,100.0,,0.0,1.0,2.0,2.0,2.0,5.0,6.0,2.0,,1.0,,,4.0,44.0,,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,,1.0,,,0.0,44.0,,0.0,,,,,,
151580316,Eloelle,argent-dawn,5.0,3391.0,59.0,50.0,0.0,50.0,,,32.0,2.0,1.0,2.0,,,19.0,1.0,0.0,1.0,,,70.0,67.0,44.0,43.0,0.0,67.0,0.0,700.0,0.0,100.0,100.0,,100.0,0.0,33.0,33.0,21.0,16.0,7.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,,3.0,1.0,3.0,23.0,14.0,7.0,3.0,0.0,2.0,0.0,7.0,0.0,1.0,1.0,,3.0,0.0,1.0,,,,,,
158366847,Epicskillz,conseil-des-ombres,40.0,129912.0,48.0,58.0,63.0,50.0,67.0,40.0,101.0,115.0,212.0,2.0,21.0,5.0,48.0,67.0,134.0,1.0,14.0,2.0,60.0,49.0,53.0,54.0,60.0,59.0,53.0,,59.0,0.0,90.0,62.0,,,62.0,503.0,277.0,282.0,209.0,398.0,184.0,323.0,,90.0,1.0,10.0,13.0,,,13.0,303.0,136.0,150.0,112.0,238.0,108.0,172.0,,53.0,0.0,9.0,8.0,,,8.0,,,,,,
67770475,Lolwutbubble,ravencrest,8.0,12457.0,57.0,62.0,50.0,0.0,67.0,33.0,30.0,32.0,14.0,2.0,3.0,3.0,17.0,20.0,7.0,0.0,2.0,1.0,54.0,30.0,55.0,34.0,40.0,37.0,21.0,,,,100.0,100.0,,,0.0,48.0,53.0,44.0,29.0,25.0,19.0,19.0,,,,2.0,1.0,,,1.0,26.0,16.0,24.0,10.0,10.0,7.0,4.0,,,,2.0,1.0,,,0.0,,,,,,
145355935,Нурфанон,gordunni,4.0,726.0,,0.0,40.0,0.0,0.0,,,1.0,5.0,1.0,1.0,,,0.0,2.0,0.0,0.0,,,,67.0,,100.0,,0.0,,0.0,,100.0,,,,100.0,,,3.0,,2.0,,2.0,,1.0,,1.0,,,,1.0,,,2.0,,2.0,,0.0,,0.0,,1.0,,,,1.0,,,,,,
156305331,Deuslovult,blackhand,21.0,1255.0,,,100.0,0.0,100.0,67.0,,,1.0,1.0,1.0,3.0,,,1.0,0.0,1.0,2.0,,,0.0,,67.0,100.0,,,,,100.0,50.0,,,,,,3.0,,3.0,1.0,,,,,2.0,2.0,,,,,,0.0,,2.0,1.0,,,,,2.0,1.0,,,,,,,,,
188002128,Окликс,gordunni,29.0,3546.0,60.0,100.0,69.0,67.0,88.0,60.0,10.0,1.0,13.0,3.0,8.0,5.0,6.0,1.0,9.0,2.0,7.0,3.0,,,75.0,,50.0,78.0,78.0,,50.0,0.0,67.0,100.0,100.0,,100.0,,,4.0,,4.0,9.0,9.0,,2.0,5.0,6.0,2.0,2.0,,1.0,,,3.0,,2.0,7.0,7.0,,1.0,0.0,4.0,2.0,2.0,,1.0,,,,,,
67595897,Artstone,ravencrest,68.0,18914.0,58.0,63.0,67.0,0.0,100.0,50.0,77.0,35.0,18.0,3.0,1.0,2.0,45.0,22.0,12.0,0.0,1.0,1.0,64.0,60.0,52.0,48.0,47.0,54.0,50.0,4000.0,27.0,,100.0,100.0,,,,83.0,57.0,63.0,56.0,17.0,13.0,12.0,1.0,11.0,,1.0,1.0,,,,53.0,34.0,33.0,27.0,8.0,7.0,6.0,40.0,3.0,,1.0,1.0,,,,,,,,,
226400871,Zaxonia,sylvanas,41.0,6178.0,53.0,67.0,57.0,15.0,0.0,,15.0,6.0,7.0,20.0,2.0,,8.0,4.0,4.0,3.0,0.0,,83.0,100.0,0.0,,67.0,33.0,50.0,,100.0,0.0,50.0,75.0,,25.0,100.0,6.0,1.0,2.0,,3.0,3.0,4.0,,2.0,1.0,4.0,4.0,,16.0,1.0,5.0,1.0,0.0,,2.0,1.0,2.0,,2.0,0.0,2.0,3.0,,4.0,1.0,,,,,,
150790113,Aleriy,amanthul,14.0,22927.0,61.0,56.0,46.0,100.0,50.0,60.0,46.0,36.0,13.0,1.0,4.0,5.0,28.0,20.0,6.0,1.0,2.0,3.0,49.0,45.0,52.0,36.0,39.0,50.0,63.0,,25.0,33.0,0.0,67.0,,,25.0,41.0,64.0,63.0,36.0,23.0,6.0,38.0,,4.0,3.0,6.0,3.0,,,4.0,20.0,29.0,33.0,13.0,9.0,3.0,24.0,,1.0,1.0,0.0,2.0,,,1.0,,,,,,
171238869,Divino,cthun,26.0,2120.0,50.0,100.0,50.0,67.0,0.0,50.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,0.0,1.0,,,100.0,,100.0,33.0,100.0,,,,75.0,0.0,,,75.0,,,2.0,,3.0,3.0,4.0,,,,8.0,3.0,,,4.0,,,2.0,,3.0,1.0,4.0,,,,6.0,0.0,,,3.0,,,,,,
134002576,Jyven,dun-modr,23.0,1344.0,,,50.0,,100.0,,,,4.0,,2.0,,,,2.0,,2.0,,75.0,50.0,67.0,100.0,50.0,67.0,100.0,,50.0,,100.0,,,,100.0,4.0,2.0,3.0,1.0,4.0,6.0,3.0,,2.0,,1.0,,,,1.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,,1.0,,1.0,,,,1.0,,,,,,
195375648,Thurros,silvermoon,8.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,100.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,
132401526,Nenorocitule,silvermoon,11.0,1736.0,100.0,,67.0,75.0,,,2.0,,3.0,4.0,,,2.0,,2.0,3.0,,,100.0,50.0,0.0,,,50.0,0.0,,,,,,,0.0,,1.0,2.0,1.0,,,2.0,1.0,,,,,,,1.0,,1.0,1.0,0.0,,,1.0,0.0,,,,,,,0.0,,,,,,,
149339799,Fragey,tarren-mill,34.0,1704.0,0.0,100.0,29.0,0.0,20.0,,3.0,2.0,7.0,2.0,5.0,,0.0,2.0,2.0,0.0,1.0,,,,,,60.0,83.0,0.0,100.0,,,80.0,50.0,,,20.0,,,,,10.0,6.0,1.0,2.0,,,5.0,6.0,,,5.0,,,,,6.0,5.0,0.0,2.0,,,4.0,3.0,,,1.0,,,,,,
153387395,Snaatz,malganis,54.0,355.0,,100.0,,,0.0,,,1.0,,,1.0,,,1.0,,,0.0,,,100.0,100.0,,,,50.0,,,,50.0,,,,,,1.0,1.0,,,,4.0,,,,2.0,,,,,,1.0,1.0,,,,2.0,,,,1.0,,,,,,,,,,
155321637,Khanzarah,ravencrest,61.0,1662.0,,100.0,100.0,0.0,100.0,50.0,,2.0,5.0,3.0,3.0,4.0,,2.0,5.0,0.0,3.0,2.0,,,,,50.0,50.0,67.0,,,,80.0,100.0,,38.0,100.0,,,,,4.0,2.0,3.0,,,,5.0,3.0,,8.0,1.0,,,,,2.0,1.0,2.0,,,,4.0,3.0,,3.0,1.0,,,,,,
166631802,Darkghost,hyjal,51.0,9511.0,29.0,57.0,50.0,,50.0,0.0,7.0,7.0,14.0,,10.0,2.0,2.0,4.0,7.0,,5.0,0.0,44.0,71.0,27.0,,25.0,29.0,64.0,,30.0,,60.0,50.0,,0.0,,18.0,7.0,11.0,,12.0,7.0,11.0,,10.0,,5.0,2.0,,3.0,,8.0,5.0,3.0,,3.0,2.0,7.0,,3.0,,3.0,1.0,,0.0,,,,,,,
115246655,Androhalí,silvermoon,57.0,14813.0,58.0,64.0,65.0,58.0,75.0,36.0,33.0,59.0,23.0,12.0,4.0,11.0,19.0,38.0,15.0,7.0,3.0,4.0,43.0,38.0,77.0,80.0,80.0,78.0,86.0,,0.0,100.0,75.0,50.0,,29.0,100.0,7.0,13.0,13.0,5.0,10.0,9.0,7.0,,1.0,1.0,8.0,6.0,,7.0,5.0,3.0,5.0,10.0,4.0,8.0,7.0,6.0,,0.0,1.0,6.0,3.0,,2.0,5.0,50.0,2.0,1.0,50.0,2.0,1.0
209977712,Tésh,nagrand,13.0,3269.0,100.0,0.0,,,,,3.0,1.0,,,,,3.0,0.0,,,,,68.0,80.0,29.0,79.0,,,,,,,,,,,,37.0,5.0,7.0,14.0,,,,,,,,,,,,25.0,4.0,2.0,11.0,,,,,,,,,,,,,,,,,
166854220,Hondasohn,blackrock,14.0,588.0,,,,0.0,,100.0,,,,1.0,,1.0,,,,0.0,,1.0,,,100.0,,100.0,100.0,,0.0,,,,100.0,,,0.0,,,1.0,,1.0,2.0,,1.0,,,,3.0,,,2.0,,,1.0,,1.0,2.0,,0.0,,,,3.0,,,0.0,,,,,,
160618534,Cyreus,silvermoon,206.0,131986.0,46.0,55.0,61.0,67.0,206.0,38.0,392.0,363.0,507.0,3.0,36.0,21.0,180.0,198.0,307.0,2.0,74.0,8.0,72.0,61.0,54.0,55.0,75.0,59.0,61.0,2600.0,60.0,100.0,63.0,70.0,100.0,33.0,74.0,465.0,363.0,350.0,183.0,341.0,397.0,376.0,1.0,296.0,1.0,27.0,27.0,31.0,3.0,19.0,336.0,220.0,189.0,101.0,257.0,235.0,229.0,26.0,178.0,1.0,17.0,19.0,31.0,1.0,14.0,,,,,,
82386110,Mortank,dun-modr,11.0,3351.0,100.0,64.0,19.0,,67.0,50.0,6.0,11.0,16.0,,3.0,2.0,6.0,7.0,3.0,,2.0,1.0,57.0,60.0,20.0,33.0,50.0,70.0,22.0,,0.0,,33.0,33.0,100.0,,100.0,7.0,5.0,5.0,3.0,2.0,10.0,9.0,,1.0,,3.0,3.0,7.0,,1.0,4.0,3.0,1.0,1.0,1.0,7.0,2.0,,0.0,,1.0,1.0,7.0,,1.0,,,,,,
109188977,Méf,ravencrest,50.0,6375.0,72.0,25.0,77.0,33.0,71.0,0.0,29.0,4.0,13.0,3.0,7.0,1.0,21.0,1.0,10.0,1.0,5.0,0.0,33.0,65.0,57.0,67.0,52.0,59.0,46.0,250.0,56.0,,75.0,50.0,,0.0,25.0,21.0,17.0,7.0,9.0,23.0,32.0,28.0,2.0,18.0,,4.0,2.0,,1.0,4.0,7.0,11.0,4.0,6.0,12.0,19.0,13.0,5.0,10.0,,3.0,1.0,,0.0,1.0,,,,,,
172901306,Aiffel,silvermoon,25.0,6154.0,75.0,83.0,71.0,,0.0,,4.0,6.0,17.0,,1.0,,3.0,5.0,12.0,,0.0,,62.0,50.0,50.0,60.0,67.0,75.0,76.0,,62.0,,75.0,67.0,,,,13.0,18.0,8.0,10.0,12.0,20.0,17.0,,13.0,,4.0,3.0,,,,8.0,9.0,4.0,6.0,8.0,15.0,13.0,,8.0,,3.0,2.0,,,,,,,,,
183013498,Гидгуд,gordunni,39.0,3035.0,100.0,100.0,75.0,50.0,100.0,,1.0,1.0,12.0,2.0,7.0,,1.0,1.0,9.0,1.0,7.0,,50.0,100.0,50.0,,12.0,73.0,88.0,,100.0,,83.0,67.0,,,67.0,4.0,1.0,6.0,,8.0,11.0,8.0,,1.0,,6.0,6.0,,,6.0,2.0,1.0,3.0,,1.0,8.0,7.0,,1.0,,5.0,4.0,,,4.0,,,,,,
140005636,Adamantix,pozzo-delleternità,34.0,7773.0,52.0,65.0,31.0,0.0,,100.0,23.0,23.0,16.0,2.0,,1.0,12.0,15.0,5.0,0.0,,1.0,35.0,39.0,50.0,36.0,33.0,36.0,36.0,0.0,24.0,,50.0,75.0,,,0.0,20.0,18.0,14.0,11.0,18.0,11.0,28.0,1.0,21.0,,2.0,4.0,,,1.0,7.0,7.0,7.0,4.0,6.0,4.0,10.0,0.0,5.0,,1.0,3.0,,,0.0,,,,,,
156657032,Mikesglory,ravencrest,15.0,3359.0,36.0,14.0,33.0,100.0,100.0,67.0,14.0,7.0,3.0,2.0,3.0,3.0,5.0,1.0,1.0,2.0,3.0,2.0,73.0,55.0,75.0,29.0,60.0,67.0,40.0,,,,0.0,50.0,,,100.0,15.0,11.0,4.0,7.0,5.0,3.0,10.0,,,,1.0,2.0,,,1.0,11.0,6.0,3.0,2.0,3.0,2.0,4.0,,,,0.0,1.0,,,1.0,,,,,,
155250431,Deviouslight,drakthul,12.0,3659.0,40.0,67.0,0.0,100.0,100.0,40.0,5.0,6.0,3.0,2.0,4.0,5.0,2.0,4.0,0.0,2.0,4.0,2.0,,,33.0,,25.0,33.0,67.0,,,60.0,25.0,100.0,,100.0,67.0,,,3.0,,4.0,3.0,6.0,,,10.0,4.0,1.0,,1.0,3.0,,,1.0,,1.0,1.0,4.0,,,6.0,1.0,1.0,,1.0,2.0,,,,,,
196305197,Айнест,gordunni,23.0,997.0,100.0,80.0,,,50.0,0.0,1.0,5.0,,,2.0,1.0,1.0,4.0,,,1.0,0.0,,,,,,,,,,100.0,,0.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,
97587780,Vesias,tarren-mill,3.0,13145.0,36.0,60.0,67.0,,,,11.0,5.0,3.0,,,,4.0,3.0,2.0,,,,55.0,57.0,64.0,61.0,83.0,100.0,50.0,,78.0,,,,,,,20.0,23.0,14.0,28.0,12.0,8.0,4.0,,9.0,,,,,,,11.0,13.0,9.0,17.0,10.0,8.0,2.0,,7.0,,,,,,,,,,,,
172694863,Yagammi,silvermoon,20.0,315.0,0.0,0.0,,,,0.0,1.0,1.0,,,,1.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,
191840232,Nakui,aegwynn,28.0,2299.0,,50.0,100.0,33.0,67.0,0.0,,2.0,1.0,3.0,6.0,4.0,,1.0,1.0,1.0,4.0,0.0,,,0.0,,100.0,67.0,60.0,,0.0,,67.0,29.0,100.0,,67.0,,,2.0,,3.0,6.0,5.0,,1.0,,6.0,7.0,1.0,,3.0,,,0.0,,3.0,4.0,3.0,,0.0,,4.0,2.0,1.0,,2.0,,,,,,
171511209,Theenderkoll,cthun,2.0,63.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
180420766,Тивиар,gordunni,7.0,1640.0,,,50.0,,,100.0,,,2.0,,,1.0,,,1.0,,,1.0,0.0,,,,0.0,50.0,33.0,50.0,,,0.0,67.0,,25.0,33.0,1.0,,,,1.0,2.0,3.0,2.0,,,1.0,3.0,,8.0,3.0,0.0,,,,0.0,1.0,1.0,1.0,,,0.0,2.0,,2.0,1.0,,,,,,
113680702,Veilyy,tarren-mill,11.0,350.0,,,75.0,,100.0,,,,4.0,,2.0,,,,3.0,,2.0,,,,,,50.0,100.0,0.0,,,,0.0,50.0,,,0.0,,,,,2.0,1.0,2.0,,,,2.0,2.0,,,1.0,,,,,1.0,1.0,0.0,,,,0.0,1.0,,,0.0,,,,,,
149922389,Verdikt,alleria,13.0,3767.0,60.0,100.0,43.0,,0.0,80.0,5.0,4.0,14.0,,4.0,5.0,3.0,4.0,6.0,,0.0,4.0,50.0,20.0,100.0,0.0,31.0,40.0,67.0,,67.0,,57.0,,100.0,,100.0,8.0,5.0,9.0,1.0,13.0,5.0,3.0,,3.0,,7.0,,4.0,,2.0,4.0,1.0,9.0,0.0,4.0,2.0,2.0,,2.0,,4.0,,4.0,,2.0,,,,,,
107271066,Twardziejszy,ravencrest,5.0,872.0,100.0,100.0,100.0,,50.0,50.0,1.0,1.0,2.0,,2.0,4.0,1.0,1.0,2.0,,1.0,2.0,,,0.0,,33.0,0.0,100.0,0.0,,,100.0,100.0,,100.0,100.0,,,1.0,,3.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,0.0,,1.0,0.0,1.0,0.0,,,1.0,1.0,,1.0,1.0,,,,,,
58530031,Hoopoe,dun-modr,33.0,9522.0,41.0,0.0,77.0,,50.0,50.0,17.0,5.0,13.0,,4.0,2.0,7.0,0.0,10.0,,2.0,1.0,56.0,57.0,44.0,52.0,31.0,30.0,62.0,350.0,100.0,50.0,50.0,50.0,100.0,,75.0,39.0,23.0,16.0,21.0,16.0,10.0,21.0,2.0,3.0,2.0,6.0,4.0,13.0,,4.0,22.0,13.0,7.0,11.0,5.0,3.0,13.0,7.0,3.0,1.0,3.0,2.0,13.0,,3.0,,,,,,
164108514,Torkas,alleria,25.0,569.0,100.0,,100.0,,,100.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,,,0.0,,100.0,0.0,,,,,100.0,,,,0.0,,,1.0,,1.0,1.0,,,,,2.0,,,,1.0,,,0.0,,1.0,0.0,,,,,2.0,,,,0.0,,,,,,
114938946,Miggellight,antonidas,81.0,1533.0,38.0,45.0,,33.0,0.0,22.0,8.0,11.0,,3.0,1.0,9.0,3.0,5.0,,1.0,0.0,2.0,,,100.0,,100.0,,0.0,,,,0.0,0.0,,12.0,,,,2.0,,1.0,,1.0,,,,1.0,1.0,,8.0,,,,2.0,,1.0,,0.0,,,,0.0,0.0,,1.0,,,,,,,
