character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Battle for Wintergrasp won,Silvershard Mines win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Silvershard Mines played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Silvershard Mines won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Korrak's Revenge played,Rated Eye of the Storm won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won
105455006,Anomindara,bladefist,8.0,8103.0,58.0,46.0,64.0,62.0,50.0,50.0,100.0,80.0,0.0,100.0,75.0,67.0,19.0,24.0,22.0,8.0,2.0,10.0,2.0,5.0,2.0,2.0,4.0,9.0,11.0,11.0,14.0,5.0,1.0,5.0,2.0,4.0,0.0,2.0,3.0,6.0,100.0,67.0,100.0,100.0,,,4.0,3.0,3.0,1.0,,,4.0,2.0,3.0,1.0,,,,,,,,,,,
97967676,Eromine,draenor,31.0,2870.0,44.0,0.0,0.0,50.0,,40.0,67.0,100.0,67.0,100.0,,40.0,9.0,1.0,1.0,4.0,,5.0,3.0,2.0,3.0,1.0,,5.0,4.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,1.0,,2.0,75.0,,100.0,67.0,100.0,0.0,4.0,,2.0,3.0,1.0,1.0,3.0,,2.0,2.0,1.0,0.0,,,,,,,100.0,1.0,1.0
145636880,Fodenpala,twisting-nether,57.0,4295.0,40.0,,,43.0,,33.0,25.0,100.0,75.0,0.0,100.0,33.0,5.0,,,7.0,,3.0,4.0,5.0,4.0,3.0,1.0,3.0,2.0,,,3.0,,1.0,1.0,5.0,3.0,0.0,1.0,1.0,33.0,50.0,44.0,50.0,,50.0,3.0,6.0,9.0,10.0,,2.0,1.0,3.0,4.0,5.0,,1.0,50.0,,2.0,,1.0,,,,
76947846,Kynval,nemesis,10.0,7648.0,40.0,67.0,43.0,45.0,45.0,33.0,59.0,39.0,27.0,,,,20.0,33.0,21.0,22.0,20.0,12.0,22.0,18.0,11.0,,,,8.0,22.0,9.0,10.0,9.0,4.0,13.0,7.0,3.0,,,,46.0,100.0,100.0,0.0,,,13.0,1.0,1.0,1.0,,,6.0,1.0,1.0,0.0,,,,0.0,,2.0,,0.0,,,
112876095,Benj,draenor,24.0,3104.0,33.0,67.0,,50.0,,0.0,62.0,100.0,71.0,,43.0,40.0,3.0,3.0,,4.0,,5.0,8.0,4.0,7.0,,7.0,5.0,1.0,2.0,,2.0,,0.0,5.0,4.0,5.0,,3.0,2.0,71.0,100.0,25.0,67.0,,60.0,7.0,4.0,4.0,6.0,,5.0,5.0,4.0,1.0,4.0,,3.0,,,,,,,,,
175702618,Pjonka,burning-legion,13.0,526.0,,,,0.0,,,67.0,0.0,0.0,,,,,,,2.0,,,3.0,1.0,2.0,,,,,,,0.0,,,2.0,0.0,0.0,,,,100.0,,,100.0,,50.0,2.0,,,2.0,,2.0,2.0,,,2.0,,1.0,,,,,,,,,
114356122,Ratterrich,blackhand,40.0,2872.0,0.0,67.0,0.0,40.0,,29.0,62.0,38.0,40.0,50.0,0.0,100.0,1.0,6.0,1.0,5.0,,7.0,8.0,8.0,10.0,4.0,1.0,2.0,0.0,4.0,0.0,2.0,,2.0,5.0,3.0,4.0,2.0,0.0,2.0,67.0,67.0,50.0,12.0,,38.0,3.0,6.0,4.0,8.0,,8.0,2.0,4.0,2.0,1.0,,3.0,50.0,,2.0,,1.0,,100.0,1.0,1.0
165037468,Diktrol,stormreaver,16.0,2301.0,50.0,,,67.0,,100.0,100.0,57.0,67.0,,100.0,50.0,6.0,,,3.0,,2.0,1.0,7.0,3.0,,4.0,4.0,3.0,,,2.0,,2.0,1.0,4.0,2.0,,4.0,2.0,62.0,67.0,100.0,20.0,,88.0,8.0,3.0,2.0,5.0,,8.0,5.0,2.0,2.0,1.0,,7.0,0.0,100.0,2.0,1.0,0.0,1.0,,,
188759228,Karmacharger,silvermoon,13.0,410.0,,,,,,,,50.0,0.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,0.0,,,,,0.0,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,
166161372,Lexaniqt,blackmoore,53.0,57718.0,43.0,59.0,55.0,60.0,53.0,43.0,62.0,65.0,,40.0,,,28.0,90.0,38.0,30.0,45.0,46.0,29.0,34.0,,5.0,,,12.0,53.0,21.0,18.0,24.0,20.0,18.0,22.0,,2.0,,,50.0,,,0.0,,0.0,6.0,,,2.0,,1.0,3.0,,,0.0,,0.0,,,,,,,,,
142375419,Malefyca,blackrock,53.0,8757.0,45.0,40.0,50.0,50.0,50.0,30.0,50.0,38.0,45.0,24.0,,,11.0,25.0,6.0,16.0,2.0,10.0,30.0,21.0,33.0,21.0,,,5.0,10.0,3.0,8.0,1.0,3.0,15.0,8.0,15.0,5.0,,,52.0,67.0,25.0,38.0,,,23.0,6.0,16.0,8.0,,,12.0,4.0,4.0,3.0,,,,,,,,,75.0,4.0,3.0
126346731,Benanpala,thrall,35.0,1036.0,57.0,0.0,50.0,100.0,,100.0,25.0,100.0,0.0,33.0,,,7.0,2.0,2.0,1.0,,2.0,4.0,1.0,2.0,3.0,,,4.0,0.0,1.0,1.0,,2.0,1.0,1.0,0.0,1.0,,,0.0,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,
165207487,Titiran,drakthul,24.0,1352.0,100.0,,,75.0,,0.0,100.0,100.0,33.0,,100.0,,1.0,,,4.0,,1.0,4.0,2.0,3.0,,1.0,,1.0,,,3.0,,0.0,4.0,2.0,1.0,,1.0,,80.0,67.0,50.0,33.0,,67.0,5.0,6.0,2.0,3.0,,6.0,4.0,4.0,1.0,1.0,,4.0,0.0,,3.0,,0.0,,,,
171439082,Grippingcnt,kazzak,54.0,1134.0,100.0,100.0,50.0,0.0,,,67.0,100.0,100.0,0.0,,,1.0,1.0,2.0,1.0,,,6.0,9.0,4.0,1.0,,,1.0,1.0,1.0,0.0,,,4.0,9.0,4.0,0.0,,,33.0,80.0,33.0,50.0,,100.0,3.0,5.0,6.0,6.0,,1.0,1.0,4.0,2.0,3.0,,1.0,100.0,,2.0,,2.0,,,,
167094488,Bolderbast,tarren-mill,14.0,3157.0,0.0,,,50.0,,75.0,67.0,57.0,67.0,,,100.0,2.0,,,2.0,,4.0,9.0,7.0,15.0,,,1.0,0.0,,,1.0,,3.0,6.0,4.0,10.0,,,1.0,62.0,40.0,55.0,25.0,,40.0,8.0,10.0,11.0,8.0,,15.0,5.0,4.0,6.0,2.0,,6.0,50.0,,10.0,,5.0,,,,
194396987,Crael,hyjal,22.0,412.0,,,,,,,100.0,50.0,100.0,,0.0,50.0,,,,,,,1.0,2.0,1.0,,1.0,2.0,,,,,,,1.0,1.0,1.0,,0.0,1.0,100.0,100.0,,50.0,,0.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,1.0,,0.0,0.0,,1.0,,0.0,,,,
178886806,Sharinop,kazzak,38.0,2956.0,67.0,30.0,67.0,0.0,0.0,43.0,0.0,50.0,,,,,3.0,23.0,6.0,2.0,4.0,7.0,5.0,4.0,,,,,2.0,7.0,4.0,0.0,0.0,3.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110693952,Waniaa,eredar,49.0,4075.0,0.0,50.0,0.0,50.0,0.0,25.0,53.0,73.0,52.0,0.0,,100.0,1.0,8.0,1.0,2.0,1.0,4.0,17.0,11.0,25.0,1.0,,3.0,0.0,4.0,0.0,1.0,0.0,1.0,9.0,8.0,13.0,0.0,,3.0,45.0,71.0,75.0,0.0,100.0,20.0,11.0,7.0,8.0,2.0,3.0,5.0,5.0,5.0,6.0,0.0,3.0,1.0,75.0,,4.0,,3.0,,,,
97349937,Grendizer,ragnaros,19.0,6045.0,64.0,84.0,88.0,43.0,30.0,54.0,81.0,83.0,80.0,97.0,0.0,50.0,11.0,50.0,51.0,7.0,10.0,13.0,58.0,64.0,41.0,33.0,1.0,4.0,7.0,42.0,45.0,3.0,3.0,7.0,47.0,53.0,33.0,32.0,0.0,2.0,86.0,100.0,33.0,80.0,,50.0,43.0,7.0,6.0,5.0,,6.0,37.0,7.0,2.0,4.0,,3.0,4000.0,100.0,1.0,4.0,40.0,4.0,100.0,1.0,1.0
147116888,Ксеноо,howling-fjord,11.0,3045.0,100.0,,,,,100.0,100.0,0.0,50.0,,,,1.0,,,,,1.0,1.0,1.0,2.0,,,,1.0,,,,,1.0,1.0,0.0,1.0,,,,,0.0,,,,50.0,,1.0,,,,2.0,,0.0,,,,1.0,100.0,,1.0,,1.0,,,,
157171057,Vicker,stormscale,13.0,123.0,,,,,,0.0,,100.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,0.0,,1.0,,,,,0.0,,,100.0,,100.0,2.0,,,1.0,,1.0,0.0,,,1.0,,1.0,100.0,,1.0,,1.0,,,,
197358910,Andymonka,kazzak,43.0,18326.0,67.0,55.0,39.0,48.0,42.0,75.0,32.0,43.0,61.0,33.0,,,120.0,71.0,51.0,40.0,60.0,55.0,44.0,51.0,28.0,18.0,,,80.0,39.0,20.0,19.0,25.0,41.0,14.0,22.0,17.0,6.0,,,40.0,50.0,0.0,,,100.0,45.0,4.0,2.0,,,1.0,18.0,2.0,0.0,,,1.0,,,,,,,,,
111730213,Bulbuci,draenor,25.0,3602.0,,,,100.0,,33.0,100.0,,0.0,,67.0,60.0,,,,1.0,,3.0,1.0,,1.0,,6.0,5.0,,,,1.0,,1.0,1.0,,0.0,,4.0,3.0,100.0,100.0,75.0,67.0,,100.0,1.0,2.0,4.0,3.0,,2.0,1.0,2.0,3.0,2.0,,2.0,,80.0,,5.0,,4.0,,,
211942967,Бычито,thermaplugg,32.0,10426.0,75.0,67.0,25.0,81.0,,73.0,35.0,53.0,57.0,64.0,,100.0,4.0,3.0,8.0,16.0,,11.0,17.0,19.0,21.0,22.0,,2.0,3.0,2.0,2.0,13.0,,8.0,6.0,10.0,12.0,14.0,,2.0,63.0,65.0,39.0,78.0,,67.0,19.0,17.0,18.0,9.0,,3.0,12.0,11.0,7.0,7.0,,2.0,,100.0,,1.0,,1.0,,,
154220855,Eliasér,zuljin,51.0,53942.0,53.0,64.0,59.0,54.0,57.0,45.0,57.0,58.0,42.0,39.0,100.0,75.0,68.0,223.0,176.0,122.0,136.0,38.0,106.0,91.0,43.0,28.0,1.0,4.0,36.0,143.0,103.0,66.0,77.0,17.0,60.0,53.0,18.0,11.0,1.0,3.0,61.0,57.0,100.0,67.0,,50.0,49.0,7.0,2.0,3.0,,4.0,30.0,4.0,2.0,2.0,,2.0,7000.0,60.0,1.0,5.0,70.0,3.0,,,
