,Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Tabard,Shirt,Off Hand,score
1393,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Chestplate of the March Warden,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Ritual Bone Band,Slimy Consumptive Organ,Inscrutable Quantum Device,Cowled Batwing Cloak,Supercollider,,Wraps of the Blood-Soaked Brawler,Encrusted Canopic Lid,1056.3
1394,Darkfrost Helmet,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Fogweaver Gauntlets,Death God's Signet,Signet of the False Accuser,Inscrutable Quantum Device,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Gorestained Cleaver,Illustrious Guild Tabard,,Barricade of the Endless Empire,1097.1
1395,Wrathbark Greathelm,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,Sinful Aspirant's Plate Chestplate,Shadowghast Waistguard,Sinful Gladiator's Plate Wargreaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fleshfused Crushers,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Dealer Xy'exa's Cape,Supercollider,,,Acidslough Bulwark,1195.2
1396,Darkfrost Helmet,Heart of Azeroth,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Bloodoath Signet,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Engorged Worm Smasher,Tabard of the Lightbringer,Fashionable Undershirt,Barricade of the Endless Empire,1125.9
1397,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Fleshfused Crushers,Signet of the False Accuser,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Supercollider,,,Acidslough Bulwark,1184.5
1398,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Guilewind Stone Talons,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,,,Acidslough Bulwark,1268.2
1399,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,,Croc-Tooth Harness,Elysian Sentinel's Aegis,1017.2
1400,Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Death God's Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Crest of the Legionnaire General,Axe of the Deadgrove,Renowned Guild Tabard,Fashionable Undershirt,Acidslough Bulwark,1059.1
1401,Dread Sentinel's Ebony Headgear,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Fleshfused Circle,Bloodoath Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Drape of Twisted Loyalties,Sophisticated Bonecracker,,,Acidslough Bulwark,1055.2
1402,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Fleshfused Circle,Hyperlight Band,Inscrutable Quantum Device,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Sinsmasher,,,Barricade of the Endless Empire,1127.1
1403,Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Guilewind Stone Talons,Bloodoath Signet,Stitchflesh's Misplaced Signet,Spare Meat Hook,Phial of Putrefaction,Blighted Margrave's Cloak,Axe of the Deadgrove,,,Encrusted Canopic Lid,1045.4
1404,Sinful Gladiator's Plate Helm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Ritual Bone Band,Twisted Witherroot Band,Darkmoon Deck: Indomitable,Inscrutable Quantum Device,Cowled Batwing Cloak,Gorestained Cleaver,Tabard of Brute Force,Precious' Ribbon,Encrusted Canopic Lid,1049.1
1405,Plague Handler's Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Gormshell Greaves,Stoneguard Attendant's Boots,Selfless Collector's Wristguards,Selfless Collector's Gauntlets,Hyperlight Band,Arachnid Cipher Ring,Anima Field Emitter,Blood-Spattered Scale,Drape of Twisted Loyalties,Xandria's Kopis of Courage,Tabard of the Zandalari,,Elysian Sentinel's Aegis,891.3
1406,Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Fleshfused Circle,Signet of the False Accuser,Anima Field Emitter,Stone Legion Heraldry,Blighted Margrave's Cloak,Sophisticated Bonecracker,Tabard of the Zandalari,,Elysian Sentinel's Aegis,941.5
1407,Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Death God's Signet,Ritualist's Treasured Ring,Sinful Gladiator's Badge of Ferocity,Phial of Putrefaction,Cloak of Enveloping Manifestations,Gorestained Cleaver,Renowned Guild Tabard,Artisan Officer's Shirt,Acidslough Bulwark,1126.0
1408,Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Shadowghast Ring,Bloodoath Signet,Relic of the First Ones,Blood-Spattered Scale,Decadent Nathrian Shawl,Sophisticated Bonecracker,,Master Builder's Shirt,Acidslough Bulwark,1001.6
1409,Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Gormshell Greaves,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Ritual Bone Band,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Orgrimmar Tabard,Sleeveless T-Shirt,Sinful Gladiator's Guard,1240.9
1410,Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Selfless Collector's Gauntlets,Ritual Commander's Ring,Signet of the False Accuser,Splintered Heart of Al'ar,Pulsating Stoneheart,Cowled Batwing Cloak,Engorged Worm Smasher,Renowned Guild Tabard,,Chyrus's Crest of Hope,890.7
1411,Darkfrost Helmet,Trailspinner Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ardent Sunstar Signet,Ring of Perpetual Conflict,Sinful Gladiator's Insignia of Alacrity,Sinful Aspirant's Medallion,Decadent Nathrian Shawl,Axe of the Deadgrove,Orgrimmar Tabard,Irradiated Undercoat,Acidslough Bulwark,987.4
1412,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Bloodoath Signet,Death God's Signet,Stone Legion Heraldry,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,Tabard of the Ascended,Antiseptic-Soaked Dressing,Elysian Sentinel's Aegis,1295.8
1413,Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Sophisticated Bonecracker,,,Acidslough Bulwark,892.5
1414,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Axe of the Deadgrove,,,Acidslough Bulwark,932.2
1415,Wrathbark Greathelm,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Cowled Batwing Cloak,Gorestained Cleaver,Huojin Tabard,,Encrusted Canopic Lid,1035.7
1416,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Waistguard of Expurged Anguish,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Bloodoath Signet,Gluttonous Spike,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Engorged Worm Smasher,Loremaster's Colors,Precious' Ribbon,Acidslough Bulwark,1022.8
1417,Darkfrost Helmet,Trailspinner Pendant,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Binding of Warped Desires,Galvanized Oxxein Legguards,Shadowghast Sabatons,Thunderous Echo Vambraces,Guilewind Stone Talons,Death God's Signet,Ritual Commander's Ring,Darkmoon Deck: Voracity,Blood-Spattered Scale,Blighted Margrave's Cloak,Supercollider,Tabard of the Lightbringer,Gorgeous Blouse,Acidslough Bulwark,1023.5
1418,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of the Afterlife,Waistguard of Expurged Anguish,Gormshell Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Hardened Castle Crushers,Band of the Risen Bonelord,Death God's Signet,Gluttonous Spike,Memory of Past Sins,Shroud of the Penitent,Axe of the Deadgrove,,,Acidslough Bulwark,840.7
1419,Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Death God's Signet,Bloodoath Signet,Anima Field Emitter,Slimy Consumptive Organ,Blighted Margrave's Cloak,Sinsmasher,Tabard of the Lightbringer,Artisan Officer's Shirt,Encrusted Canopic Lid,1042.5
1420,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Gormshell Greaves,Warboots of Ruthless Conviction,Selfless Collector's Wristguards,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Drape of Twisted Loyalties,Supercollider,,,Acidslough Bulwark,923.7
1421,Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Mantle of Manifest Sins,Axe of the Deadgrove,Dominating Gladiator's Tabard,,Sinful Gladiator's Guard,1033.9
1422,Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Valinor's Ground Pounders,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Ritualist's Treasured Ring,Anima Field Emitter,Darkmoon Deck: Indomitable,Dealer Xy'exa's Cape,Engorged Worm Smasher,,Orange Martial Shirt,Encrusted Canopic Lid,1017.4
1423,Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Grim Codex,Cowled Batwing Cloak,Sinsmasher,,,Acidslough Bulwark,899.5
1424,Darkfrost Helmet,Trailspinner Pendant,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Shadowghast Waistguard,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fleshfused Crushers,Hyperlight Band,Ritual Commander's Ring,Pulsating Stoneheart,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Reaver of Renewed Resolve,Tabard of the Ascended,,Acidslough Bulwark,1003.4
1425,Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Muckwallow Stompers,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Ritual Bone Band,Bloodoath Signet,Blood-Spattered Scale,Pulsating Stoneheart,Sinful Gladiator's Drape,Supercollider,,,Barricade of the Endless Empire,729.0
1426,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Hellhound Cuffs,Distorted Construct's Gauntlets,Signet of the False Accuser,Death God's Signet,Splintered Heart of Al'ar,Darkmoon Deck: Voracity,Drape of Twisted Loyalties,Supercollider,Silvermoon City Tabard,,Encrusted Canopic Lid,1068.2
1427,Wing Commander's Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Sinful Gladiator's Plate Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritual Bone Band,Bloodoath Signet,Splintered Heart of Al'ar,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Gorestained Cleaver,Renowned Guild Tabard,,Acidslough Bulwark,1001.9
1428,Plague Handler's Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Pit Fighter's Wristguards,Guilewind Stone Talons,Ritual Bone Band,Signet of the False Accuser,Blood-Spattered Scale,Inscrutable Quantum Device,Cowled Batwing Cloak,Engorged Worm Smasher,,Sleeveless T-Shirt,Acidslough Bulwark,1049.1
1429,Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Shadowghast Ring,Signet of the False Accuser,Slimy Consumptive Organ,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Sinsmasher,,,Elysian Sentinel's Aegis,1202.8
1430,Shadowghast Helm,Muckformed Chain Choker,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Twisted Witherroot Band,Bloodoath Signet,Viscera of Coalesced Hatred,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sophisticated Bonecracker,Renowned Guild Tabard,,Barricade of the Endless Empire,992.7
1431,Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Ritual Bone Band,Ritual Commander's Ring,Inscrutable Quantum Device,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Axe of the Deadgrove,August Celestials Tabard,,Barricade of the Endless Empire,917.7
1432,Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Stonebark Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Shadowghast Ring,Band of the Risen Bonelord,Gluttonous Spike,Slimy Consumptive Organ,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,,Precious' Ribbon,Acidslough Bulwark,965.4
1433,Diadem of Imperious Desire,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Hellhound Cuffs,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Ritual Commander's Ring,Gluttonous Spike,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Gristlegore Hacker,,Sleeveless T-Shirt,Encrusted Canopic Lid,730.8
1434,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Band of the Risen Bonelord,Bloodoath Signet,Pulsating Stoneheart,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sinsmasher,,,Barricade of the Endless Empire,712.9
1435,Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Shadowghast Waistguard,Gormshell Greaves,Dynamo Doomstompers,Shoulderblade Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Hyperlight Band,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,,White Tuxedo Shirt,Elysian Sentinel's Aegis,797.6
1436,Darkfrost Helmet,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Shadowghast Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Signet of the False Accuser,Arachnid Cipher Ring,Pulsating Stoneheart,Sanguine Vintage,Cowled Batwing Cloak,Engorged Worm Smasher,,,Acidslough Bulwark,869.0
1437,Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Sinful Gladiator's Plate Warboots,Shoulderblade Vambraces,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Signet,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,,,Sinful Gladiator's Guard,1392.0
1438,Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Girdle,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Gluttonous Spike,Sinful Gladiator's Drape,Axe of the Deadgrove,,,Elysian Sentinel's Aegis,1297.1
1439,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Anima Field Emitter,Gluttonous Spike,Cowled Batwing Cloak,Sophisticated Bonecracker,,,Chyrus's Crest of Hope,1225.6
1440,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Competitor's Tabard,Blue Lumberjack Shirt,Acidslough Bulwark,1209.5
1441,Wing Commander's Helmet,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Wristguards,Sinful Gladiator's Plate Gauntlets,Ritual Bone Band,Sinful Gladiator's Ring,Sinful Aspirant's Insignia of Alacrity,Sinful Aspirant's Medallion,Dealer Xy'exa's Cape,Sophisticated Bonecracker,,,Sinful Gladiator's Guard,1373.9
1442,Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Galvanized Oxxein Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Band of the Risen Bonelord,Hyperlight Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Gorestained Cleaver,,,Sinful Gladiator's Guard,1138.1
1443,Wrathbark Greathelm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Ring of Perpetual Conflict,Fleshfused Circle,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Supercollider,,,Sinful Gladiator's Guard,1102.4
1444,Sinful Aspirant's Plate Helm,Sinful Aspirant's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Aspirant's Plate Warboots,Shoulderblade Vambraces,Fleshfused Crushers,Sinful Gladiator's Ring,Ritual Commander's Ring,Sinful Gladiator's Insignia of Alacrity,Sinful Aspirant's Relentless Brooch,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Stormwind Tabard,Lucky Shirt,Barricade of the Endless Empire,1198.3
1445,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Sinful Gladiator's Plate Stompers,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Engorged Worm Smasher,,,Acidslough Bulwark,1127.5
1446,Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Most Regal Signet of Sire Denathrius,Anima Field Emitter,Blood-Spattered Scale,Crest of the Legionnaire General,Supercollider,,,Acidslough Bulwark,1121.9
1447,Oversized Centurion Helm,Trailspinner Pendant,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Shadowghast Sabatons,Hellhound Cuffs,Fogweaver Gauntlets,Ritualist's Treasured Ring,Death God's Signet,Splintered Heart of Al'ar,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Axe of the Deadgrove,Hellscream's Reach Tabard,,Sinful Aspirant's Barrier,1114.8
1448,Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Sinful Gladiator's Plate Legguards,Dynamo Doomstompers,Shoulderblade Vambraces,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Supercollider,Tabard of the Ascended,,Sinful Gladiator's Guard,1142.2
1449,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Band of the Risen Bonelord,Death God's Signet,Slimy Consumptive Organ,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,,,Encrusted Canopic Lid,1156.1
1450,Sinful Gladiator's Plate Helm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Signet of the False Accuser,Entwined Gorger Tendril,Viscera of Coalesced Hatred,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,Darkspear Tabard,,Encrusted Canopic Lid,1113.3
1451,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Entwined Gorger Tendril,Death God's Signet,Splintered Heart of Al'ar,Inscrutable Quantum Device,Cowled Batwing Cloak,Xandria's Kopis of Courage,,Stylish Black Shirt,Encrusted Canopic Lid,1161.8
1452,Wrathbark Greathelm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Stone Legion Heraldry,Cowled Batwing Cloak,Barbed-Edge of the Stone Legion,Darkspear Tabard,Irradiated Undercoat,Stonewrought Gargoyles Barrier,1300.2
