,Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Tabard,Shirt,Off Hand,score
60,Selfless Collector's GreatHelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Tharatos' Charred Chestplate,Waistguard of Expurged Anguish,Gormshell Greaves,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Ardent Sunstar Signet,Anima Field Emitter,Gluttonous Spike,Dealer Xy'exa's Cape,Engorged Worm Smasher,,,Barricade of the Endless Empire,1054.9
61,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Muckwallow Stompers,Hellhound Cuffs,Distorted Construct's Gauntlets,Death God's Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Engorged Worm Smasher,Blood Knight Tabard,Orange Martial Shirt,Acidslough Bulwark,928.4
62,Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Ceremonial Parade Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Blighted Margrave's Cloak,Engorged Worm Smasher,,,Elysian Sentinel's Aegis,1525.2
63,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Sinful Gladiator's Drape,Engorged Worm Smasher,,,Encrusted Canopic Lid,1494.3
64,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Arachnid Cipher Ring,Signet of the False Accuser,Blood-Spattered Scale,Stone Legion Heraldry,Crest of the Legionnaire General,Sinful Gladiator's Swordbreaker,Renowned Guild Tabard,,Sinful Gladiator's Redoubt,1349.8
65,Wing Commander's Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Hellhound Cuffs,Fleshfused Crushers,Arachnid Cipher Ring,Band of the Risen Bonelord,Sinful Aspirant's Insignia of Alacrity,Blood-Spattered Scale,Crest of the Legionnaire General,Axe of the Deadgrove,,,Encrusted Canopic Lid,1351.7
66,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Ceremonial Parade Legguards,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Stone Legion Heraldry,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Guild Tabard,,Sinful Gladiator's Guard,1492.7
67,Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Shadowghast Ring,Blood-Spattered Scale,Anima Field Emitter,Cloak of Enveloping Manifestations,Gorestained Cleaver,,Blue Linen Shirt,Sinful Gladiator's Guard,1345.8
68,Diadem of Imperious Desire,Azure-Venom Choker,Shadowghast Pauldrons,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fleshfused Crushers,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Anima Field Emitter,Sanguine Vintage,Cowled Batwing Cloak,Engorged Worm Smasher,Tabard of the Lightbringer,Precious' Ribbon,Elysian Sentinel's Aegis,1344.4
69,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Supercollider,,,Acidslough Bulwark,1361.6
70,Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stonebark Girdle,Gormshell Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Band of the Risen Bonelord,Inscrutable Quantum Device,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,,,Acidslough Bulwark,1259.6
71,Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Death God's Signet,Ritual Bone Band,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Mantle of Manifest Sins,Engorged Worm Smasher,,,Acidslough Bulwark,1298.8
72,Shadowghast Helm,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Fallen Templar's Gauntlets,Arachnid Cipher Ring,Signet of the False Accuser,Anima Field Emitter,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Sinful Gladiator's Xiphos,Tabard of the Lightbringer,Wraps of the Blood-Soaked Brawler,Encrusted Canopic Lid,1334.1
73,Plague Handler's Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Hyperlight Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Sinful Gladiator's Drape,Engorged Worm Smasher,,,Barricade of the Endless Empire,1244.3
74,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Ritualist's Treasured Ring,Ritual Commander's Ring,Sinful Gladiator's Insignia of Alacrity,Sanguine Vintage,Dealer Xy'exa's Cape,Ascended Gladius of Glory,Tabard of the Ascended,,Elysian Sentinel's Aegis,1216.9
75,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Hellhound Cuffs,Colossal Plate Gauntlets,Death God's Signet,Hyperlight Band,Gluttonous Spike,Splintered Heart of Al'ar,Crest of the Legionnaire General,Sinsmasher,Argent Crusader's Tabard,Artisan Officer's Shirt,Chyrus's Crest of Hope,1088.5
76,Shadowghast Helm,Azure-Venom Choker,Vile Butcher's Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Dynamo Doomstompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritual Commander's Ring,Stitchflesh's Misplaced Signet,Grim Codex,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Silvermoon City Tabard,Artisan Officer's Shirt,Acidslough Bulwark,1055.8
77,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Crest of the Legionnaire General,Axe of the Deadgrove,Blood Knight Tabard,Orange Mageweave Shirt,Acidslough Bulwark,1299.0
78,Sinful Gladiator's Plate Helm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Bloodoath Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Stone Legion Heraldry,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Army of the Light Tabard,,Barricade of the Endless Empire,1182.7
79,Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Gauntlets,Stitchflesh's Misplaced Signet,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Xandria's Kopis of Courage,Silvermoon City Tabard,,Barricade of the Endless Empire,1361.5
80,Darkfrost Helmet,Muckformed Chain Choker,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Guilewind Stone Talons,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Stone Legion Heraldry,Dealer Xy'exa's Cape,Engorged Worm Smasher,,Antiseptic-Soaked Dressing,Sinful Gladiator's Guard,1164.4
81,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Death God's Signet,Inscrutable Quantum Device,Gluttonous Spike,Cowled Batwing Cloak,Axe of the Deadgrove,Thunder Bluff Tabard,,Sinful Gladiator's Guard,1105.1
82,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Hardened Castle Crushers,Arachnid Cipher Ring,Signet of the False Accuser,Blood-Spattered Scale,Inscrutable Quantum Device,Shroud of the Penitent,Gorestained Cleaver,,,Acidslough Bulwark,1144.8
83,Shadowghast Helm,Sinful Gladiator's Amulet,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Medallion,Mantle of Manifest Sins,Sinsmasher,Bilgewater Cartel Tabard,,Chyrus's Crest of Hope,1266.6
84,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Muckwallow Stompers,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Twisted Witherroot Band,Stitchflesh's Misplaced Signet,Viscera of Coalesced Hatred,Anima Field Emitter,Blighted Margrave's Cloak,Axe of the Deadgrove,,,Acidslough Bulwark,1007.3
85,Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Sinful Gladiator's Drape,Engorged Worm Smasher,,,Sinful Gladiator's Guard,1095.6
86,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fogweaver Gauntlets,Ritual Bone Band,Signet of the False Accuser,Bladedancer's Armor Kit,Slimy Consumptive Organ,Blighted Margrave's Cloak,Supercollider,,Precious' Ribbon,Acidslough Bulwark,1063.1
87,Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Ceremonial Parade Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,,,Encrusted Canopic Lid,1176.8
88,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Hellhound Cuffs,Fogweaver Gauntlets,Fleshfused Circle,Death God's Signet,Splintered Heart of Al'ar,Decanter of Anima-Charged Winds,Cloak of Enveloping Manifestations,Gorestained Cleaver,Tabard of the Lightbringer,Fashionable Undershirt,Chyrus's Crest of Hope,993.0
89,Wrathbark Greathelm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Shadowghast Ring,Sinful Gladiator's Signet,Sinful Aspirant's Relentless Brooch,Sinful Aspirant's Insignia of Alacrity,Decadent Nathrian Shawl,Legacy of Thunder,,,Sinful Gladiator's Guard,991.0
90,Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Dynamo Doomstompers,Bracers of the Tenebrous Retinue,Colossal Plate Gauntlets,Death God's Signet,Hyperlight Band,Dreadfire Vessel,Gluttonous Spike,Blighted Margrave's Cloak,Gorestained Cleaver,,,Acidslough Bulwark,1045.5
91,Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Most Regal Signet of Sire Denathrius,Sinful Aspirant's Badge of Ferocity,Sinful Aspirant's Medallion,Blighted Margrave's Cloak,Sophisticated Bonecracker,Lightforged Tabard,,Acidslough Bulwark,1031.8
92,Shadowghast Helm,Azure-Venom Choker,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Binding of Warped Desires,Gormshell Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Bloodoath Signet,Ritualist's Treasured Ring,Sanguine Vintage,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,Blood Knight Tabard,Yellow Lumberjack Shirt,Acidslough Bulwark,1136.0
93,Shadowghast Helm,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Dealer Xy'exa's Cape,Sinsmasher,,,Acidslough Bulwark,1361.8
94,Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Most Regal Signet of Sire Denathrius,Anima Field Emitter,Blood-Spattered Scale,Crest of the Legionnaire General,Supercollider,,,Acidslough Bulwark,1121.9
95,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fleshfused Crushers,Bloodoath Signet,Signet of the False Accuser,Slimy Consumptive Organ,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Axe of the Deadgrove,,,Acidslough Bulwark,1076.2
96,Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Endlessly Gluttonous Greaves,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Hardened Castle Crushers,Death God's Signet,Sinful Gladiator's Ring,Sinful Aspirant's Badge of Ferocity,Anima Field Emitter,Drape of Twisted Loyalties,Sophisticated Bonecracker,Tabard of the Explorer,Scarlet Filigreed Shirt,Acidslough Bulwark,1015.3
97,Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Sinful Gladiator's Plate Vambraces,Hardened Castle Crushers,Ritual Bone Band,Sinful Gladiator's Ring,Bladedancer's Armor Kit,Overwhelming Power Crystal,Drape of Twisted Loyalties,Axe of the Deadgrove,,,Chyrus's Crest of Hope,1001.6
98,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Decadent Nathrian Shawl,Axe of the Deadgrove,,Red Lumberjack Shirt,Acidslough Bulwark,1078.0
99,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Fleshfused Circle,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,,,Acidslough Bulwark,1032.9
100,Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Ritual Commander's Ring,Entwined Gorger Tendril,Sinful Gladiator's Insignia of Alacrity,Inscrutable Quantum Device,Blighted Margrave's Cloak,Engorged Worm Smasher,,,Barricade of the Endless Empire,1059.4
101,Wrathbark Greathelm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ritual Commander's Ring,Ring of Perpetual Conflict,Sinful Gladiator's Insignia of Alacrity,Decanter of Anima-Charged Winds,Decadent Nathrian Shawl,Gorestained Cleaver,Tabard of the Lightbringer,Gorgeous Blouse,Sinful Gladiator's Guard,1024.1
102,Darkfrost Helmet,Trailspinner Pendant,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Shadowghast Waistguard,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fleshfused Crushers,Hyperlight Band,Ritual Commander's Ring,Pulsating Stoneheart,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Reaver of Renewed Resolve,Tabard of the Ascended,,Acidslough Bulwark,1003.4
103,Wrathbark Greathelm,Azure-Venom Choker,Vile Butcher's Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Sinful Gladiator's Plate Gauntlets,Shadowghast Ring,Most Regal Signet of Sire Denathrius,Viscera of Coalesced Hatred,Inscrutable Quantum Device,Cowled Batwing Cloak,Sinsmasher,Illustrious Guild Tabard,Artisan Officer's Shirt,Encrusted Canopic Lid,1016.6
104,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Muckwallow Stompers,Hellhound Cuffs,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Anima Field Emitter,Slimy Consumptive Organ,Drape of Twisted Loyalties,Engorged Worm Smasher,,,Encrusted Canopic Lid,1042.8
105,Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Galvanized Oxxein Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Anima Field Emitter,Blood-Spattered Scale,Sinful Gladiator's Drape,Gorestained Cleaver,,,Sinful Gladiator's Guard,1072.8
106,Shadowghast Helm,Trailspinner Pendant,Shieldguard's Shoulderplates,Breastplate of Brutal Dissonance,Binding of Warped Desires,Gormshell Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Death God's Signet,Splintered Heart of Al'ar,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Sophisticated Bonecracker,Tabard of the Ascended,,Acidslough Bulwark,1013.0
107,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Fleshfused Crushers,Ritual Bone Band,Most Regal Signet of Sire Denathrius,Blood-Spattered Scale,Macabre Sheet Music,Cloak of Enveloping Manifestations,Engorged Worm Smasher,,Common White Shirt,Acidslough Bulwark,863.7
108,Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Stonebark Girdle,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,,,Sinful Gladiator's Guard,966.0
109,Sinful Gladiator's Plate Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Sinful Gladiator's Plate Girdle,Sinful Gladiator's Plate Legguards,Muckwallow Stompers,Shoulderblade Vambraces,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Darkmoon Deck: Indomitable,Anima Field Emitter,Sinful Gladiator's Shawl,Sinful Gladiator's Xiphos,Silvermoon City Tabard,Silvermoon Doublet,Barricade of the Endless Empire,915.7
110,Shadowghast Helm,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Slimy Consumptive Organ,Cowled Batwing Cloak,Sinful Gladiator's Swordbreaker,Renowned Guild Tabard,,Sinful Gladiator's Redoubt,1267.6
111,Diadem of Imperious Desire,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,,White Swashbuckler's Shirt,Acidslough Bulwark,1161.6
112,Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Ardent Sunstar Signet,Entwined Gorger Tendril,Anima Field Emitter,Overwhelming Power Crystal,Cowled Batwing Cloak,Sinsmasher,Guild Tabard,Tuxedo Shirt,Acidslough Bulwark,1034.6
113,Sinful Aspirant's Plate Helm,Sinful Gladiator's Amulet,Prankster's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Signet,Sinful Gladiator's Ring,Sinful Aspirant's Badge of Ferocity,Sinful Aspirant's Medallion,Sinful Gladiator's Drape,Sophisticated Bonecracker,Tabard of the Explorer,Gray Woolen Shirt,Sinful Gladiator's Bulwark,897.4
114,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Band of the Risen Bonelord,Overwhelming Power Crystal,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinsmasher,,,Encrusted Canopic Lid,802.2
115,Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Hyperlight Band,Sinful Gladiator's Signet,Sinful Aspirant's Badge of Ferocity,Sinful Aspirant's Medallion,Dealer Xy'exa's Cape,Barbed-Edge of the Stone Legion,Tabard of the Shattered Sun,,Builwark of the Stone Legion,1299.1
116,Plague Handler's Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Guilewind Stone Talons,Arachnid Cipher Ring,Shadowghast Ring,Sinful Gladiator's Insignia of Alacrity,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Supercollider,Tabard of the Zandalari,Sleeveless T-Shirt,Barricade of the Endless Empire,935.2
117,Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Ritualist's Treasured Ring,Sinful Gladiator's Medallion,Sinful Aspirant's Badge of Ferocity,Blighted Margrave's Cloak,Sophisticated Bonecracker,,Precious' Ribbon,Sinful Gladiator's Guard,843.1
118,Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Shieldguard's Warboots,Pit Fighter's Wristguards,Fogweaver Gauntlets,Band of the Risen Bonelord,Bloodoath Signet,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Mantle of Manifest Sins,Engorged Worm Smasher,,,Acidslough Bulwark,779.9
