Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Tabard
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Hide of the Murderaffe,Sinful Gladiator's Plate Chestplate,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Shadowghast Armguards,Distorted Construct's Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Sinful Aspirant's Badge of Ferocity,Pulsating Stoneheart,Sinful Gladiator's Drape,Axe of the Deadgrove,Barricade of the Endless Empire,127865219,Tabard of the Explorer
Oversized Centurion Helm,Sin Stained Pendant,Shadowghast Pauldrons,Tailored Officer's Shirt,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Gormshell Greaves,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ritualist's Treasured Ring,Ritual Commander's Ring,Darkmoon Deck: Indomitable,Pulsating Stoneheart,Gast's Cloak of Compression,Gorestained Cleaver,Acidslough Bulwark,164011528,Silvermoon City Tabard
Wing Commander's Helmet,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,,Sinful Gladiator's Plate Chestplate,Shadowghast Waistguard,Galvanized Oxxein Legguards,Dynamo Doomstompers,Shoulderblade Vambraces,Colossal Plate Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Spare Meat Hook,Gluttonous Spike,Mantle of Manifest Sins,Gorestained Cleaver,Acidslough Bulwark,137693709,
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Antiseptic-Soaked Dressing,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Sinful Aspirant's Plate Warboots,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Ritual Bone Band,Wakener's Frond,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,45422692,Stormwind Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Sinful Aspirant's Plate Warboots,Reality-Shatter Vambraces,Guilewind Stone Talons,Signet of the False Accuser,Death God's Signet,Bladedancer's Armor Kit,Blood-Spattered Scale,Blighted Margrave's Cloak,Supercollider,Acidslough Bulwark,194770582,
Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Gormshell Greaves,Muckwallow Stompers,Selfless Collector's Wristguards,Hardened Castle Crushers,Ritual Commander's Ring,Twisted Witherroot Band,Decanter of Anima-Charged Winds,Anima Field Emitter,Blighted Margrave's Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,75186402,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Signet of the False Accuser,Death God's Signet,Gluttonous Spike,Blood-Spattered Scale,Cowled Batwing Cloak,Xandria's Kopis of Courage,Elysian Sentinel's Aegis,201052218,Renowned Guild Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Stone Legion Heraldry,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,180191286,Renowned Guild Tabard
Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Artisan Officer's Shirt,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Fleshfused Circle,Hyperlight Band,Anima Field Emitter,Blood-Spattered Scale,Drape of Twisted Loyalties,Engorged Worm Smasher,Encrusted Canopic Lid,149922389,Tabard of the Ascended
Plague Handler's Greathelm,Sin Stained Pendant,Prankster's Pauldrons,,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Shadowghast Greaves,Muckwallow Stompers,Reality-Shatter Vambraces,Guilewind Stone Talons,Bloodoath Signet,Ritualist's Treasured Ring,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Drape of Twisted Loyalties,Barbed-Edge of the Stone Legion,Builwark of the Stone Legion,176201426,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,White Linen Shirt,Tharatos' Charred Chestplate,Scarred Bloodbound Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Ardent Sunstar Signet,Band of the Risen Bonelord,Anima Field Emitter,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,238743096,
Plague Handler's Greathelm,Azure-Venom Choker,Vile Butcher's Pauldrons,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Fleshfused Crushers,Ring of Perpetual Conflict,Ardent Sunstar Signet,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Elysian Sentinel's Aegis,202638241,Stormwind Tabard
Shadowghast Helm,Azure-Venom Choker,Prankster's Pauldrons,Fashionable Undershirt,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Dynamo Doomstompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Arachnid Cipher Ring,Blood-Spattered Scale,Inscrutable Quantum Device,Mantle of Manifest Sins,Supercollider,Encrusted Canopic Lid,178520861,Tabard of the Ascended
Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Bloodoath Signet,Ritual Bone Band,Viscera of Coalesced Hatred,Splintered Heart of Al'ar,Mantle of Manifest Sins,Axe of the Deadgrove,Elysian Sentinel's Aegis,169060728,Tabard of the Lightbringer
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Artisan Initiate's Shirt,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Arachnid Cipher Ring,Signet of the False Accuser,Anima Field Emitter,Darkmoon Deck: Voracity,Cloak of Enveloping Manifestations,Sinful Gladiator's Swordbreaker,Sinful Gladiator's Redoubt,171846942,Order of Embers Tabard
Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Muckwallow Stompers,Reality-Shatter Vambraces,Guilewind Stone Talons,Ritualist's Treasured Ring,Signet of the False Accuser,Viscera of Coalesced Hatred,Macabre Sheet Music,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Encrusted Canopic Lid,120746768,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritual Bone Band,Ritualist's Treasured Ring,Blood-Spattered Scale,Stone Legion Heraldry,Blighted Margrave's Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,175169023,
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Inscrutable Quantum Device,Anima Field Emitter,Blighted Margrave's Cloak,Supercollider,Acidslough Bulwark,154745985,Tabard of the Achiever
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Fashionable Undershirt,Sinful Gladiator's Plate Chestplate,Stoic Guardsman's Belt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Handguards,Shadowghast Ring,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Sophisticated Bonecracker,Acidslough Bulwark,132411945,Tabard of the Lightbringer
Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Bargast's Leash,Anima Field Emitter,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,Barricade of the Endless Empire,171660106,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Gormshell Greaves,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Sinful Gladiator's Ring,Death God's Signet,Bladedancer's Armor Kit,Pulsating Stoneheart,Blighted Margrave's Cloak,Sinsmasher,Acidslough Bulwark,188927309,
Darkfrost Helmet,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Artisan Officer's Shirt,Abdominal Securing Chestguard,Shadowghast Waistguard,Ceremonial Parade Legguards,Errant Crusader's Greaves,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Ritual Commander's Ring,Death God's Signet,Splintered Heart of Al'ar,Inscrutable Quantum Device,Crest of the Legionnaire General,Xandria's Kopis of Courage,Elysian Sentinel's Aegis,175582296,Stormwind Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Amber Filigreed Doublet,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Guilewind Stone Talons,Ritual Bone Band,Stitchflesh's Misplaced Signet,Gluttonous Spike,Anima Field Emitter,Blighted Margrave's Cloak,Gorestained Cleaver,Barricade of the Endless Empire,195921039,Tabard of the 7th Legion
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Artisan Member's Shirt,Abdominal Securing Chestguard,Sinful Gladiator's Plate Greatbelt,Sinful Aspirant's Plate Legguards,Sinful Gladiator's Plate Stompers,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Signet,Sinful Gladiator's Ring,Sinful Aspirant's Emblem,Splintered Heart of Al'ar,Sinful Gladiator's Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,192681831,Renowned Guild Tabard
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Twisted Witherroot Band,Signet of the False Accuser,Decanter of Anima-Charged Winds,Sinful Gladiator's Badge of Ferocity,Crest of the Legionnaire General,Sinsmasher,Barricade of the Endless Empire,99375735,Bilgewater Cartel Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Precious' Ribbon,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Death God's Signet,Ritualist's Treasured Ring,Sanguine Vintage,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Acidslough Bulwark,202618704,Tabard of the Zandalari
Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Mimiron's Inferno Couplings,Distorted Construct's Gauntlets,Bloodoath Signet,Band of the Risen Bonelord,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,185123909,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Stylish Black Shirt,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Muckwallow Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Stone Legion Heraldry,Dealer Xy'exa's Cape,Sinful Gladiator's Xiphos,Chyrus's Crest of Hope,131403913,Tabard of the Kirin Tor
Wrathbark Greathelm,Trailspinner Pendant,Epaulettes of Overwhelming Force,Master Builder's Shirt,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Shadowghast Ring,Spare Meat Hook,Pulsating Stoneheart,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,195191997,
Darkfrost Helmet,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Artisan Officer's Shirt,Breastplate of Cautious Calculation,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Signet of the False Accuser,Death God's Signet,Stone Legion Heraldry,Sanguine Vintage,Cowled Batwing Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,155822731,
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Entwined Gorger Tendril,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Sinsmasher,Elysian Sentinel's Aegis,20876211,
Darkfrost Helmet,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Amber Filigreed Doublet,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Hyperlight Band,Ritual Bone Band,Gluttonous Spike,Stone Legion Heraldry,Decadent Nathrian Shawl,Axe of the Deadgrove,Barricade of the Endless Empire,165899124,Gilneas Tabard
Plague Handler's Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Fleshfused Circle,Signet of the False Accuser,Anima Field Emitter,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,175430797,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Bloodoath Signet,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Ascended Gladius of Glory,Barricade of the Endless Empire,165427440,Lightforged Tabard
Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Hellhound Cuffs,Fallen Templar's Gauntlets,Ritual Commander's Ring,Arachnid Cipher Ring,Inscrutable Quantum Device,Blood-Spattered Scale,Cowled Batwing Cloak,Supercollider,Elysian Sentinel's Aegis,118247010,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Epaulettes of Overwhelming Force,Wraps of the Blood-Soaked Brawler,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Gormshell Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Entwined Gorger Tendril,Death God's Signet,Pulsating Stoneheart,Bladedancer's Armor Kit,Grim-Veiled Cape,Sinsmasher,Sinful Gladiator's Guard,170921071,Tabard of the Lightbringer
Wrathbark Greathelm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,,Abdominal Securing Chestguard,Binding of Warped Desires,Shadowghast Greaves,Muckwallow Stompers,Pit Fighter's Wristguards,Fallen Templar's Gauntlets,Bloodoath Signet,Band of the Risen Bonelord,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Supercollider,Sylvan Whiteshield,119759244,Renowned Guild Tabard
Darkfrost Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Endlessly Gluttonous Greaves,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Arachnid Cipher Ring,Anima Field Emitter,Grim Codex,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Acidslough Bulwark,141533721,
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Gormshell Greaves,Dynamo Doomstompers,Shadowghast Armguards,Fogweaver Gauntlets,Hyperlight Band,Sinful Gladiator's Signet,Slimy Consumptive Organ,Decanter of Anima-Charged Winds,Mantle of Manifest Sins,Engorged Worm Smasher,Sinful Gladiator's Guard,195701234,Tabard of the Zandalari
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Golden Filigreed Shirt,Breastplate of Cautious Calculation,Stonebark Girdle,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Shadowghast Ring,Gluttonous Spike,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,201606331,
Shadowghast Helm,Azure-Venom Choker,Sinful Gladiator's Plate Pauldrons,,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Dealer Xy'exa's Cape,Sinful Gladiator's Xiphos,Encrusted Canopic Lid,139794257,
Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,Wraps of the Blood-Soaked Brawler,Breastplate of Otherworldly Influence,Binding of Warped Desires,Endlessly Gluttonous Greaves,Muckwallow Stompers,Hellhound Cuffs,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Signet of the False Accuser,Sinful Aspirant's Insignia of Alacrity,Splintered Heart of Al'ar,Cowled Batwing Cloak,Supercollider,Bulwark of the Unbowed,165410829,Tabard of the 7th Legion
Shadowghast Helm,Azure-Venom Choker,Razorscale Shoulderguards,Fashionable Undershirt,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Saronite Plated Legguards,Errant Crusader's Greaves,Shoulderblade Vambraces,Hardened Castle Crushers,Hyperlight Band,Most Regal Signet of Sire Denathrius,Macabre Sheet Music,Inscrutable Quantum Device,Cowled Batwing Cloak,Meditation's Muse,Encrusted Canopic Lid,237903403,
Plague Handler's Greathelm,Sinful Aspirant's Pendant,Shadowghast Pauldrons,,Tharatos' Charred Chestplate,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Muckwallow Stompers,Hellhound Cuffs,Fogweaver Gauntlets,Fleshfused Circle,Death God's Signet,Sinful Aspirant's Badge of Ferocity,Decanter of Anima-Charged Winds,Shroud of the Penitent,Gorestained Cleaver,Barricade of the Endless Empire,97305152,Renowned Guild Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Shieldguard's Breastplate,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Ritual Bone Band,Anima Field Emitter,Darkmoon Deck: Indomitable,Crest of the Legionnaire General,Sophisticated Bonecracker,Barricade of the Endless Empire,177299263,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Irradiated Undercoat,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Hardened Castle Crushers,Ritual Bone Band,Hyperlight Band,Inscrutable Quantum Device,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Encrusted Canopic Lid,202751165,
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Muckwallow Stompers,Hellhound Cuffs,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Death God's Signet,Stone Legion Heraldry,Gluttonous Spike,Crest of the Legionnaire General,Sacred Sparrer's Edge,Elysian Sentinel's Aegis,175767892,
Wing Commander's Helmet,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,Sleeveless T-Shirt,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Shadowghast Ring,Death God's Signet,Gluttonous Spike,Bargast's Leash,Crest of the Legionnaire General,Engorged Worm Smasher,Acidslough Bulwark,73380864,Tabard of the Explorer
Wrathbark Greathelm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Red Linen Shirt,Abdominal Securing Chestguard,Shadowghast Waistguard,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Ring of Perpetual Conflict,Signet of the False Accuser,Sinful Aspirant's Insignia of Alacrity,Inscrutable Quantum Device,Mantle of Manifest Sins,Sinful Aspirant's Gavel,Barricade of the Endless Empire,121971102,Renowned Guild Tabard
Wing Commander's Helmet,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Artisan Member's Shirt,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Signet of the False Accuser,Slimy Consumptive Organ,Gluttonous Spike,Cloak of Enveloping Manifestations,Supercollider,Acidslough Bulwark,199760651,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Hardened Castle Crushers,Death God's Signet,Ritual Bone Band,Bladedancer's Armor Kit,Inscrutable Quantum Device,Drape of Twisted Loyalties,Supercollider,Encrusted Canopic Lid,144783350,Bilgewater Cartel Tabard
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Sinful Gladiator's Plate Greatbelt,Endlessly Gluttonous Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Bargast's Leash,Blood-Spattered Scale,Crest of the Legionnaire General,Supercollider,Encrusted Canopic Lid,176205827,
Darkfrost Helmet,Azure-Venom Choker,Prankster's Pauldrons,Red Linen Shirt,Breastplate of Otherworldly Influence,Binding of Warped Desires,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Shadowghast Armguards,Guilewind Stone Talons,Bloodoath Signet,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Sinful Gladiator's Insignia of Alacrity,Crest of the Legionnaire General,Supercollider,Sinful Gladiator's Guard,238757005,
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Sinful Aspirant's Plate Warboots,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Overwhelming Power Crystal,Decanter of Anima-Charged Winds,Shroud of the Penitent,Sinsmasher,Encrusted Canopic Lid,181154955,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,,Selfless Collector's Chestplate,Scarred Bloodbound Girdle,Gormshell Greaves,Selfless Collector's Warboots,Shoulderblade Vambraces,Hardened Castle Crushers,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Shroud of the Penitent,Engorged Worm Smasher,Acidslough Bulwark,247864670,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Halkias's Towering Pillars,Dynamo Doomstompers,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Most Regal Signet of Sire Denathrius,Death God's Signet,Anima Field Emitter,Sinful Gladiator's Badge of Ferocity,Cloak of Enveloping Manifestations,Ascended Gladius of Glory,Acidslough Bulwark,163279745,Argent Crusader's Tabard
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Valinor's Ground Pounders,Shoulderblade Vambraces,Fallen Templar's Gauntlets,Ardent Sunstar Signet,Ritual Bone Band,Stone Legion Heraldry,Bargast's Leash,Cowled Batwing Cloak,Ascended Gladius of Glory,Acidslough Bulwark,175310737,Tabard of the Dark Iron
Shadowghast Helm,Muckformed Chain Choker,Prankster's Pauldrons,,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Band of the Risen Bonelord,Viscera of Coalesced Hatred,Slimy Consumptive Organ,Blighted Margrave's Cloak,Supercollider,Acidslough Bulwark,184063419,
Wrathbark Greathelm,Azure-Venom Choker,Sinful Gladiator's Plate Shoulders,,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fleshfused Crushers,Sinful Gladiator's Ring,Ritual Bone Band,Viscera of Coalesced Hatred,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Gladiator's Shillelagh,Sinful Gladiator's Bulwark,197137246,Tabard of the Wild Hunt
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Band of the Risen Bonelord,Hyperlight Band,Viscera of Coalesced Hatred,Anima Field Emitter,Drape of Twisted Loyalties,Supercollider,Acidslough Bulwark,244724008,
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Black Swashbuckler's Shirt,Selfless Collector's Chestplate,Fused Bone Greatbelt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Shieldguard's Gauntlets,Stitchflesh's Misplaced Signet,Fleshfused Circle,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Gorestained Cleaver,Barricade of the Endless Empire,159568227,
