,Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Tabard,Shirt,Off Hand,score
293,Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Gluttonous Spike,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Guild Tabard,Red Swashbuckler's Shirt,Encrusted Canopic Lid,1312.5
294,Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Shadowghast Armguards,Fogweaver Gauntlets,Bloodoath Signet,Ritual Commander's Ring,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Dealer Xy'exa's Cape,Engorged Worm Smasher,,,Acidslough Bulwark,989.5
295,Wing Commander's Helmet,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Guilewind Stone Talons,Ring of Perpetual Conflict,Shadowghast Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Tabard of the Dark Iron,,Barricade of the Endless Empire,816.2
296,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Hyperlight Band,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Engorged Worm Smasher,Thunder Bluff Tabard,,Sinful Gladiator's Guard,1195.0
297,Darkfrost Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Shadowghast Waistguard,Ceremonial Parade Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Ritualist's Treasured Ring,Death God's Signet,Blood-Spattered Scale,Bargast's Leash,Crest of the Legionnaire General,Ascended Gladius of Glory,Tabard of the Lightbringer,Precious' Ribbon,Encrusted Canopic Lid,958.4
298,Shadowghast Helm,Noble's Birthstone Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Hyperlight Band,Death God's Signet,Overwhelming Power Crystal,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Axe of the Deadgrove,Tabard of the Lightbringer,,Encrusted Canopic Lid,963.6
299,Wing Commander's Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Shoulderblade Vambraces,Guilewind Stone Talons,Arachnid Cipher Ring,Fleshfused Circle,Grim Codex,Gluttonous Spike,Blighted Margrave's Cloak,Supercollider,,,Acidslough Bulwark,935.1
300,Sinful Gladiator's Plate Helm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Commander's Ring,Slimy Consumptive Organ,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Bilgewater Cartel Tabard,,Barricade of the Endless Empire,1121.0
301,Wrathbark Greathelm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Stone Legion Heraldry,Cowled Batwing Cloak,Barbed-Edge of the Stone Legion,Darkspear Tabard,Irradiated Undercoat,Stonewrought Gargoyles Barrier,1300.2
302,Darkfrost Helmet,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Ceremonial Parade Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Stitchflesh's Misplaced Signet,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Gorestained Cleaver,,,Encrusted Canopic Lid,993.9
303,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Halkias's Towering Pillars,Dynamo Doomstompers,Thunderous Echo Vambraces,Fleshfused Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Spare Meat Hook,Overwhelming Power Crystal,Cowled Batwing Cloak,Engorged Worm Smasher,,,Acidslough Bulwark,962.1
304,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Overwhelming Power Crystal,Blighted Margrave's Cloak,Sophisticated Bonecracker,,Irradiated Undercoat,Acidslough Bulwark,1022.6
305,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Sinful Gladiator's Ring,Most Regal Signet of Sire Denathrius,Macabre Sheet Music,Gluttonous Spike,Drape of Twisted Loyalties,Engorged Worm Smasher,Renowned Guild Tabard,Hide of the Murderaffe,Chyrus's Crest of Hope,1154.6
306,Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Anima Field Emitter,Pulsating Stoneheart,Blighted Margrave's Cloak,Axe of the Deadgrove,,,Barricade of the Endless Empire,1006.4
307,Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Dynamo Doomstompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Slimy Consumptive Organ,Darkmoon Deck: Voracity,Cowled Batwing Cloak,Supercollider,,,Acidslough Bulwark,1125.8
308,Shadowghast Helm,Azure-Venom Choker,Epaulettes of Overwhelming Force,Breastplate of Brutal Dissonance,Stonebark Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Most Regal Signet of Sire Denathrius,Gluttonous Spike,Pulsating Stoneheart,Mantle of Manifest Sins,Ascended Gladius of Glory,,,Elysian Sentinel's Aegis,885.1
309,Plague Handler's Greathelm,Charm of Eternal Winter,Vile Butcher's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Hardened Castle Crushers,Death God's Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Viscera of Coalesced Hatred,Cloak of Enveloping Manifestations,Supercollider,,Fashionable Undershirt,Acidslough Bulwark,1099.7
310,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Muckwallow Stompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Stone Legion Heraldry,Drape of Twisted Loyalties,Axe of the Deadgrove,,,Acidslough Bulwark,1305.8
311,Shadowghast Helm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Inscrutable Quantum Device,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,,,Chyrus's Crest of Hope,1274.0
312,Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fogweaver Gauntlets,Hyperlight Band,Ritualist's Treasured Ring,Blood-Spattered Scale,Viscera of Coalesced Hatred,Cloak of Enveloping Manifestations,Sinful Gladiator's Xiphos,,Precious' Ribbon,Chyrus's Crest of Hope,1299.9
313,Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Death God's Signet,Sinful Gladiator's Ring,Sanguine Vintage,Sinful Aspirant's Insignia of Alacrity,Sinful Gladiator's Drape,Gorestained Cleaver,,,Sinful Gladiator's Guard,1347.5
314,Wing Commander's Helmet,Charm of Eternal Winter,Vile Butcher's Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Shadowghast Greaves,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Hardened Castle Crushers,Twisted Witherroot Band,Band of the Risen Bonelord,Darkmoon Deck: Indomitable,Flame of Battle,Drape of Twisted Loyalties,Sophisticated Bonecracker,Blood Knight Tabard,,Acidslough Bulwark,1297.4
315,Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Dynamo Doomstompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Bloodoath Signet,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Axe of the Deadgrove,,Fashionable Undershirt,Acidslough Bulwark,1327.6
316,Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Dynamo Doomstompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Supercollider,,,Acidslough Bulwark,1330.0
317,Darkfrost Helmet,Sinful Gladiator's Amulet,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Wargreaves,Sinful Gladiator's Plate Warboots,Sinful Aspirant's Plate Cuffs,Fleshfused Crushers,Ritualist's Treasured Ring,Death God's Signet,Sinful Gladiator's Insignia of Alacrity,Anima Field Emitter,Blighted Margrave's Cloak,Supercollider,Brawler's Guild Tabard,Ebon Filigreed Doublet,Sinful Gladiator's Guard,1420.6
318,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Bloodoath Signet,Arachnid Cipher Ring,Anima Field Emitter,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Sophisticated Bonecracker,Blood Knight Tabard,,Acidslough Bulwark,1319.3
319,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Reality-Shatter Vambraces,Guilewind Stone Talons,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Drape of Twisted Loyalties,Engorged Worm Smasher,,,Encrusted Canopic Lid,1318.3
320,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stonebark Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Fleshfused Circle,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Engorged Worm Smasher,Tabard of the Scarlet Crusade,Precious' Ribbon,Acidslough Bulwark,1279.2
321,Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Ritual Bone Band,Viscera of Coalesced Hatred,Stone Legion Heraldry,Cowled Batwing Cloak,Engorged Worm Smasher,Tabard of the Ascended,Antiseptic-Soaked Dressing,Sinful Gladiator's Guard,1296.6
322,Shadowghast Helm,Azure-Venom Choker,Vile Butcher's Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Entwined Gorger Tendril,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Blood Knight Tabard,Black Swashbuckler's Shirt,Chyrus's Crest of Hope,1328.6
323,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Stonebark Girdle,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Anima Field Emitter,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Axe of the Deadgrove,,,Barricade of the Endless Empire,1283.5
324,Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Death God's Signet,Decanter of Anima-Charged Winds,Gluttonous Spike,Mantle of Manifest Sins,Gorestained Cleaver,Illustrious Guild Tabard,Amber Filigreed Doublet,Elysian Sentinel's Aegis,1175.4
325,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Slimy Consumptive Organ,Darkmoon Deck: Indomitable,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,,,Barricade of the Endless Empire,1145.1
326,Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Ritualist's Treasured Ring,Bloodoath Signet,Stone Legion Heraldry,Anima Field Emitter,Drape of Twisted Loyalties,Supercollider,,,Barricade of the Endless Empire,1109.1
327,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Dynamo Doomstompers,Thunderous Echo Vambraces,Fleshfused Crushers,Arachnid Cipher Ring,Death God's Signet,Decanter of Anima-Charged Winds,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Sophisticated Bonecracker,,,Barricade of the Endless Empire,1242.6
328,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Hyperlight Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Cowled Batwing Cloak,Sinsmasher,,,Acidslough Bulwark,1265.0
329,Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Ritual Commander's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Pulsating Stoneheart,Cloak of Enveloping Manifestations,Gorestained Cleaver,,,Acidslough Bulwark,1002.5
330,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Death God's Signet,Skulker's Wing,Stone Legion Heraldry,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,,,Barricade of the Endless Empire,1286.5
331,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Bloodoath Signet,Hyperlight Band,Splintered Heart of Al'ar,Anima Field Emitter,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,,,Acidslough Bulwark,1239.7
332,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Guilewind Stone Talons,Sinful Gladiator's Ring,Signet of the False Accuser,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Badge of Ferocity,Cowled Batwing Cloak,Sophisticated Bonecracker,Renowned Guild Tabard,Yellow Martial Shirt,Sinful Gladiator's Guard,1146.6
333,Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Ritual Commander's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Overwhelming Power Crystal,Sinful Gladiator's Drape,Engorged Worm Smasher,Tabard of the Ascended,,Sinful Gladiator's Guard,1156.2
334,Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Death God's Signet,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,,,Acidslough Bulwark,1094.4
335,Diadem of Imperious Desire,Noble's Birthstone Pendant,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Binding of Warped Desires,Shadowghast Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Hardened Castle Crushers,Death God's Signet,Most Regal Signet of Sire Denathrius,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Ascended Gladius of Glory,Darkspear Tabard,Precious' Ribbon,Barricade of the Endless Empire,1023.0
336,Wrathbark Greathelm,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Shoulderblade Vambraces,Fogweaver Gauntlets,Ritualist's Treasured Ring,Band of the Risen Bonelord,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Sinful Gladiator's Drape,Supercollider,,Sharkskin Tunic,Sinful Gladiator's Bulwark,1180.9
337,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Gormshell Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Ritualist's Treasured Ring,Signet of the False Accuser,Hymnal of the Path,Blood-Spattered Scale,Shroud of the Penitent,Supercollider,,,Barricade of the Endless Empire,875.5
338,Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestplate,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Death God's Signet,Bloodoath Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,Argent Crusader's Tabard,Precious' Ribbon,Sinful Gladiator's Guard,1343.7
339,Diadem of Imperious Desire,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Ceremonial Parade Legguards,Shadowghast Sabatons,Hellhound Cuffs,Distorted Construct's Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Phial of Putrefaction,Cowled Batwing Cloak,Sinsmasher,Tabard of the Kirin Tor,Red Lumberjack Shirt,Encrusted Canopic Lid,1256.8
340,Shadowghast Helm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Ritual Bone Band,Sinful Gladiator's Ring,Stone Legion Heraldry,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Tabard of the Achiever,Cerulean Filigreed Doublet,Sinful Gladiator's Guard,1425.5
341,Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Hyperlight Band,Ritual Bone Band,Blood-Spattered Scale,Skulker's Wing,Blighted Margrave's Cloak,Axe of the Deadgrove,Tabard of the Lightbringer,Precious' Ribbon,Sinful Gladiator's Guard,1457.1
342,Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Sinsmasher,,,Elysian Sentinel's Aegis,1448.1
343,Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Guilewind Stone Talons,Bloodoath Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Crest of the Legionnaire General,Sophisticated Bonecracker,,Squire's Shirt,Acidslough Bulwark,1038.1
344,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Sophisticated Bonecracker,Stormpike Battle Tabard,Last Season's Shirt,Elysian Sentinel's Aegis,1099.9
345,Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Hyperlight Band,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,,,Chyrus's Crest of Hope,1138.3
346,Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Binding of Warped Desires,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Bloodoath Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Argent Crusader's Tabard,,Chyrus's Crest of Hope,1217.9
347,Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Sinful Aspirant's Plate Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Band of the Risen Bonelord,Decanter of Anima-Charged Winds,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Sinful Gladiator's Xiphos,Tabard of the Honorbound,,Barricade of the Endless Empire,884.3
348,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Binding of Warped Desires,Halkias's Towering Pillars,Muckwallow Stompers,Hellhound Cuffs,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Tabard of the Lightbringer,Artisan Officer's Shirt,Elysian Sentinel's Aegis,992.1
349,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Binding of Warped Desires,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Fleshfused Circle,Stitchflesh's Misplaced Signet,Gluttonous Spike,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,Guild Tabard,,Encrusted Canopic Lid,1112.7
350,Plague Handler's Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Shoulderblade Vambraces,Fogweaver Gauntlets,Ring of Perpetual Conflict,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Gorestained Cleaver,Tabard of the Lightbringer,Precious' Ribbon,Acidslough Bulwark,1062.1
351,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Fogweaver Gauntlets,Ring of Perpetual Conflict,Ritual Bone Band,Darkmoon Deck: Indomitable,Slimy Consumptive Organ,Drape of Twisted Loyalties,Sophisticated Bonecracker,Tabard of the Lightbringer,,Encrusted Canopic Lid,1024.1
352,Darkfrost Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Dynamo Doomstompers,Hellhound Cuffs,Fogweaver Gauntlets,Most Regal Signet of Sire Denathrius,Shadowghast Ring,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Illustrious Guild Tabard,,Barricade of the Endless Empire,1086.9
